Model,Lead_5th_ms,Lead_median_ms,Lead_IQR_ms,Lead_95th_ms,Lead_mean_ms,Lead_norm_mean,seed
Shallow ML (MLP),0.0,600.0000000000001,200.0000000000001,600.0000000000001,448.98505779531996,4.471229065393148,7
GCN,0.0,600.0000000000001,500.0000000000001,600.0000000000001,411.57316041725403,4.096832434864575,7
GraphSAGE,0.0,600.0000000000001,600.0000000000001,600.0000000000001,397.95601917113055,3.96066102240334,7
GAT,0.0,600.0000000000001,100.00000000000011,600.0000000000001,490.0338314068227,4.881439144760261,7
tgcn:5,0.0,600.0000000000001,100.00000000000011,600.0000000000001,490.35971223021585,4.8843521471482605,7
stgcn:5,0.0,600.0000000000001,600.0000000000001,600.0000000000001,385.51079136690646,3.835862938515167,7
PI+MLP,0.0,600.0000000000001,200.0000000000001,600.0000000000001,459.416408232309,4.575264913015125,7
FANET-TopoGNN,0.0,600.0000000000001,200.0000000000001,600.0000000000001,457.6261629546095,4.55736246023813,7
tgn:5,0.0,600.0000000000001,100.00000000000011,600.0000000000001,501.8273381294964,4.999028406141067,7
FANET-TopoGNN (concat),0.0,500.0,600.0000000000001,600.0000000000001,360.7132788271779,3.5882336189638138,7
Kinetic-TopoGuard,0.0,400.0,600.0000000000001,600.0000000000001,307.3442345644206,3.054543176336241,7
Union-Find detection oracle,0.0,0.0,0.0,0.0,0.0,0.0,7
