seed,Model,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy
7,Union-Find detection oracle,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.9092565597667639,0.8658333333333333
7,Shallow ML (MLP),0.27676240208877284,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.38222222222222224
7,Kinetic-TopoGuard,0.36520811099252937,0.9994158878504673,0.5349382523057684,0.45809037900874633,0.5868055555555556
7,GCN,0.2917023096663815,0.9959112149532711,0.45123726346433773,0.2456268221574344,0.4240277777777778
7,GAT,0.24704184704184703,1.0,0.3962045822726221,0.049198250728862976,0.2752777777777778
7,GraphSAGE,0.3042163316135919,0.9988317757009346,0.46638483567434885,0.2873542274052478,0.45652777777777775
7,PI+MLP,0.25464628297362113,0.9924065420560748,0.4052958015267176,0.09384110787172012,0.3075
7,FANET-TopoGNN,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889
7,FANET-TopoGNN (concat),0.32848837209302323,0.990070093457944,0.4933061699650756,0.36862244897959184,0.5163888888888889
7,tgcn:5,0.24307692307692308,1.0,0.39108910891089105,0.042801556420233464,0.26785714285714285
7,stgcn:5,0.29743867243867245,0.9939722724532851,0.4578647785644871,0.2783027607930332,0.4465702947845805
7,tgn:5,0.23511904761904762,1.0,0.38072289156626504,0.0,0.23511904761904762
