Model,Lead_5th_ms,Lead_median_ms,Lead_IQR_ms,Lead_95th_ms,Lead_mean_ms,Lead_norm_mean,seed
Shallow ML (GBR),200.0,600.0000000000001,100.00000000000011,600.0000000000001,541.0852713178294,0.5556147811457118,7
GCN,200.0,600.0000000000001,100.00000000000011,600.0000000000001,541.0852713178294,0.5556147811457118,7
GraphSAGE,200.0,600.0000000000001,100.00000000000011,600.0000000000001,541.0852713178294,0.5556147811457118,7
GAT,200.0,600.0000000000001,100.00000000000011,600.0000000000001,541.0852713178294,0.5556147811457118,7
FANET-TopoGNN (concat),200.0,600.0000000000001,100.00000000000011,600.0000000000001,538.7596899224807,0.5532754389137041,7
tgcn:5,300.00000000000006,600.0000000000001,100.00000000000011,600.0000000000001,543.6507936507936,0.5604119779823947,7
PI+MLP,100.0,600.0000000000001,100.00000000000011,600.0000000000001,517.8294573643411,0.5466426307006932,7
FANET-TopoGNN,200.0,600.0000000000001,100.00000000000011,600.0000000000001,534.1085271317829,0.5485967544496887,7
stgcn:5,100.0,600.0000000000001,100.00000000000011,600.0000000000001,519.047619047619,0.535630091349791,7
tgn:5,25.0,600.0000000000001,100.00000000000011,600.0000000000001,503.1746031746032,0.5187789786720789,7
Kinetic-TopoGuard,0.0,200.0,500.0,600.0000000000001,258.91472868217056,0.32059807696426645,7
Current-state persistence baseline,0.0,0.0,0.0,0.0,0.0,0.0,7
