Model,MAE_mean,R2_mean,Lead_median_ms_mean
Current-state persistence baseline,0.11953703703703704,0.42492878104246223,0.0
Kinetic-TopoGuard,0.11953703703703704,0.42492878104246223,200.0
Shallow ML,0.1813724962969415,0.4470665309471233,600.0000000000001
GraphSAGE,0.2242881390783522,0.45751342099669046,600.0000000000001
PI+MLP,0.23431713894285536,0.28521796830045604,600.0000000000001
GCN,0.25747057224037473,0.2908779637764777,600.0000000000001
GAT,0.2701135381531936,0.1921878154840894,600.0000000000001
FANET-TopoGNN (concat),0.2737030790304696,0.2763276860586347,600.0000000000001
FANET-TopoGNN,0.2745881600650372,0.2524075696097465,600.0000000000001
