seed,Model,Policy,Validation_False_Alert_Budget_per_minute,Validation_Constraint_Met,Selected_Threshold,Validation_Risk_F1,Validation_False_Alert_Events_per_minute,Test_MAE,Test_MSE,Test_R2,Test_MAE_CI_low,Test_MAE_CI_high,Test_R2_CI_low,Test_R2_CI_high,Test_Inference_ms,Test_Risk_Precision,Test_Risk_Recall,Test_Risk_F1,Test_Risk_Specificity,Test_Risk_Accuracy,Test_Risk_PR_AUC,Test_Risk_ROC_AUC,Test_Risk_Brier,Test_Risk_ECE,Test_False_Alarms,Test_False_Alarms_per_minute,Test_Alert_Events,Test_True_Alert_Events,Test_False_Alert_Events,Test_Ground_Truth_Fragmentation_Events,Test_Missed_Fragmentation_Events,Test_Alert_Event_Precision,Test_Alert_Event_Recall,Test_Alert_Event_F1,Test_False_Alert_Events_per_minute
7,Kinetic-TopoGuard,deployable,2.0,1.0,0.25,0.8265512265512265,1.916666666666666,0.08458333333333333,0.11291666666666667,0.5733402995233315,0.03179166666666666,0.13975694444444445,0.054737992018294906,0.7233075588731349,5.589933027788193,0.7285491419656787,0.912109375,0.8100607111882047,0.9436528497409327,0.9391666666666667,0.9443154121604526,0.9824965086625648,0.036943608251271826,0.11204701717604054,348.0,29.0,88.0,46.0,42.0,129.0,83.0,0.5227272727272727,0.35658914728682173,0.42396313364055305,3.499999999999999
7,Kinetic-TopoGuard,strict,1.0,1.0,0.35,0.8496192893401016,0.7499999999999998,0.08458333333333333,0.11291666666666667,0.5733402995233315,0.03179166666666666,0.13975694444444445,0.054737992018294906,0.7233075588731349,5.589933027788193,0.8560606060606061,0.8828125,0.8692307692307693,0.9753886010362695,0.9622222222222222,0.9443154121604526,0.9824965086625648,0.036943608251271826,0.11204701717604054,152.0,12.666666666666666,34.0,24.0,10.0,129.0,105.0,0.7058823529411765,0.18604651162790697,0.29447852760736193,0.833333333333333
17,Kinetic-TopoGuard,deployable,2.0,1.0,0.55,0.7429837518463812,1.666666666666666,0.11486111111111111,0.1584722222222222,0.1402175306581126,0.05497916666666667,0.18801736111111114,-0.4190533414011797,0.3317917819066202,5.545080305568665,0.5282608695652173,0.7665615141955836,0.6254826254826255,0.9339019189765458,0.9191666666666667,0.6415865692016987,0.9430889074872851,0.1457822930261134,0.3094524801432409,434.0,36.166666666666664,69.0,53.0,16.0,203.0,150.0,0.7681159420289855,0.26108374384236455,0.3897058823529411,1.333333333333333
17,Kinetic-TopoGuard,strict,1.0,1.0,0.6,0.7594637223974763,0.4166666666666665,0.11486111111111111,0.1584722222222222,0.1402175306581126,0.05497916666666667,0.18801736111111114,-0.4190533414011797,0.3317917819066202,5.545080305568665,0.5944517833553501,0.7097791798107256,0.6470165348670022,0.9532439841608286,0.9318055555555556,0.6415865692016987,0.9430889074872851,0.1457822930261134,0.3094524801432409,307.0,25.583333333333332,57.0,47.0,10.0,203.0,156.0,0.8245614035087719,0.2315270935960591,0.36153846153846153,0.833333333333333
27,Kinetic-TopoGuard,deployable,2.0,1.0,0.4,0.8269230769230769,1.2499999999999996,0.15916666666666668,0.22944444444444445,0.5612285129459427,0.0665763888888889,0.25183333333333335,0.36669344098061524,0.646637241564185,4.943538194444652,0.8219674109837055,0.908,0.8628444726005702,0.9482456140350877,0.9398611111111111,0.9528797153123073,0.9833601169590643,0.06668830897213085,0.16385215014674934,295.0,24.583333333333332,74.0,56.0,18.0,169.0,113.0,0.7567567567567568,0.33136094674556216,0.4609053497942387,1.4999999999999996
27,Kinetic-TopoGuard,strict,1.0,1.0,0.45,0.8270458502611725,0.833333333333333,0.15916666666666668,0.22944444444444445,0.5612285129459427,0.0665763888888889,0.25183333333333335,0.36669344098061524,0.646637241564185,4.943538194444652,0.8599096191091027,0.888,0.8737290915054118,0.9619298245614035,0.9465277777777777,0.9528797153123073,0.9833601169590643,0.06668830897213085,0.16385215014674934,217.0,18.083333333333332,46.0,40.0,6.0,169.0,129.0,0.8695652173913043,0.23668639053254437,0.37209302325581395,0.49999999999999983
