Model,Connectivity ratio_mean,Connectivity ratio_ci95_low,Connectivity ratio_ci95_high,Reachability-delivery proxy (%)_mean,Reachability-delivery proxy (%)_ci95_low,Reachability-delivery proxy (%)_ci95_high,Proxy delay (ms)_mean,Proxy delay (ms)_ci95_low,Proxy delay (ms)_ci95_high,Proactive reroute (%)_mean,Proactive reroute (%)_ci95_low,Proactive reroute (%)_ci95_high,DTN buffered (%)_mean,DTN buffered (%)_ci95_low,DTN buffered (%)_ci95_high,Relay actions_mean,Relay actions_ci95_low,Relay actions_ci95_high
Kinetic-TopoGuard,0.905787037037037,0.8266949900510506,0.9848790840230234,99.68570688225539,99.43946735497927,99.9319464095315,18.71579442694224,18.096529042147896,19.33505981173658,1.9485696517412936,1.7300751763192461,2.167064127163341,0.5552964344941956,0.05781747822325345,1.0527753907651378,2516.0,1566.998980541468,3465.001019458532
GAT,0.9046759259259259,0.8251481502611007,0.9842037015907512,99.69211235489219,99.43077940452008,99.9534453052643,18.488519612735047,17.90489508286919,19.072144142600905,25.847346600331676,19.664702712931252,32.0299904877321,0.5778296019900497,0.08470651912735871,1.0709526848527409,6487.0,4851.1466134154925,8122.8533865845075
GCN,0.9043055555555556,0.8250321572623405,0.9835789538487707,99.68894071310116,99.43094423992558,99.94693718627674,18.49910688580959,17.92169470341264,19.076519068206537,25.101907131011604,16.315657637288265,33.88815662473495,0.5769382255389718,0.08237787528438312,1.0714985757935604,6424.333333333333,4033.1032551982785,8815.563411468387
FANET-TopoGNN,0.9038425925925927,0.8246885753228962,0.9829966098622892,99.69044361525705,99.42902990959573,99.95185732091838,18.482981400212882,17.904334874290313,19.06162792613545,24.99912935323383,23.305220666002054,26.693038040465606,0.5799751243781094,0.08791043408165605,1.0720398146745627,6519.666666666667,5781.851979062493,7257.481354270841
GraphSAGE,0.9037037037037038,0.8248474939664299,0.9825599134409777,99.69035033167495,99.43085293704975,99.94984772630015,18.518053498514142,17.940166206504916,19.09594079052337,22.134411276948587,16.220207569636415,28.04861498426076,0.5812707296849088,0.09167531568772269,1.0708661436820948,6265.0,4967.657655666786,7562.342344333214
FANET-TopoGNN (concat),0.9034722222222222,0.8246309454449636,0.9823134989994808,99.68924129353233,99.42777790585909,99.95070468120558,18.48944802719581,17.898127235713265,19.080768818678354,24.09442371475954,20.773000679747984,27.415846749771095,0.5815091210613598,0.0919113413394465,1.071106900783273,6451.666666666667,6295.5856204830325,6607.7477128503015
