seed,Model,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,Alert_Events,True_Alert_Events,False_Alert_Events,Ground_Truth_Fragmentation_Events,Missed_Fragmentation_Events,Alert_Event_Precision,Alert_Event_Recall,Alert_Event_F1,False_Alert_Events_per_minute,Model_Backend
7,Current-state persistence baseline,0.8502415458937198,0.859375,0.8547838756677999,0.9749028497409327,0.9584722222222222,0.8400506388108903,0.9171389248704663,0.041527777777777775,0.041527777777777775,155.0,12.916666666666666,0.0,0.0,0.0,129.0,129.0,0.0,0.0,0.0,0.0,deterministic_persistence_baseline
7,Shallow ML,0.17716262975778546,1.0,0.3009994121105232,0.22992227979274613,0.33944444444444444,0.20515705169414866,0.614961139896373,0.6605555555555556,0.6605555555555556,4756.0,396.3333333333333,198.0,49.0,149.0,129.0,80.0,0.2474747474747475,0.3798449612403101,0.2996941896024465,12.416666666666663,scikit_learn
7,Kinetic-TopoGuard,0.7285491419656787,0.912109375,0.8100607111882047,0.9436528497409327,0.9391666666666667,0.9443154121604526,0.9824965086625648,0.036943608251271826,0.11204701717604054,348.0,29.0,88.0,46.0,42.0,129.0,83.0,0.5227272727272727,0.35658914728682173,0.42396313364055305,3.499999999999999,scikit_learn
7,GCN,0.1476994086254147,1.0,0.2573834359683298,0.043231865284974094,0.17930555555555555,0.13835732958530952,0.5216159326424871,0.8206944444444444,0.8206944444444445,5909.0,492.4166666666667,175.0,49.0,126.0,129.0,80.0,0.28,0.3798449612403101,0.3223684210526316,10.499999999999996,pytorch
7,GAT,0.15083222860509649,1.0,0.2621272238576731,0.0665479274611399,0.19930555555555557,0.14013527020332814,0.5332739637305699,0.8006944444444445,0.8006944444444444,5765.0,480.4166666666667,204.0,49.0,155.0,129.0,80.0,0.24019607843137256,0.3798449612403101,0.29429429429429427,12.916666666666663,pytorch
7,GraphSAGE,0.16473616473616473,1.0,0.2828729281767956,0.15932642487046633,0.2788888888888889,0.15810791047748796,0.5796632124352332,0.7211111111111111,0.7211111111111111,5192.0,432.6666666666667,233.0,49.0,184.0,129.0,80.0,0.21030042918454936,0.3798449612403101,0.27071823204419887,15.333333333333329,pytorch
7,PI+MLP,0.19709302325581396,0.9931640625,0.32891332470892626,0.3291774611398964,0.4236111111111111,0.1940930280932705,0.6611707618199482,0.5763888888888888,0.576388888888889,4143.0,345.25,150.0,49.0,101.0,129.0,80.0,0.32666666666666666,0.3798449612403101,0.35125448028673834,8.416666666666664,pytorch
7,FANET-TopoGNN,0.2043225935561337,0.9970703125,0.3391463212091015,0.35621761658031087,0.4473611111111111,0.21598617213835708,0.6766439645401554,0.5526388888888889,0.5526388888888889,3976.0,331.3333333333333,183.0,50.0,133.0,129.0,79.0,0.273224043715847,0.3875968992248062,0.3205128205128205,11.08333333333333,pytorch
7,FANET-TopoGNN (concat),0.18549410698096103,0.9990234375,0.3128918794922771,0.27266839378238344,0.3759722222222222,0.1952066530486643,0.6358459156411918,0.6240277777777777,0.6240277777777778,4492.0,374.3333333333333,160.0,49.0,111.0,129.0,80.0,0.30625,0.3798449612403101,0.3391003460207613,9.249999999999996,pytorch
7,T-GCN (w=5),0.14186507936507936,1.0,0.24847958297132927,0.0,0.14186507936507936,0.8479792642337077,0.5,0.8581349206349206,0.8581349206349207,6055.0,514.8809523809524,115.0,48.0,67.0,126.0,78.0,0.41739130434782606,0.38095238095238093,0.3983402489626555,5.697278911564626,pytorch
7,STGCN (w=5),0.22172452407614782,0.989010989010989,0.36223929747530187,0.42609413707679605,0.5059523809523809,0.8716111003189446,0.7075525630438926,0.49404761904761907,0.494047619047619,3475.0,295.49319727891157,164.0,52.0,112.0,126.0,74.0,0.3170731707317073,0.4126984126984127,0.35862068965517246,9.523809523809524,pytorch
7,TGN (w=5),0.2786377708978328,0.989010989010989,0.4347826086956521,0.5767134599504542,0.6352040816326531,0.8757864512390074,0.7828622244807216,0.3647959183673469,0.36479591836734687,2563.0,217.9421768707483,128.0,49.0,79.0,126.0,77.0,0.3828125,0.3888888888888889,0.38582677165354334,6.717687074829932,pytorch
17,Current-state persistence baseline,0.5642965204236006,0.5883280757097792,0.576061776061776,0.9561376789521779,0.92375,0.45881752631218037,0.7722328773309785,0.07625,0.07625,288.0,24.0,0.0,0.0,0.0,203.0,203.0,0.0,0.0,0.0,0.0,deterministic_persistence_baseline
17,Shallow ML,0.1083205193917649,1.0,0.1954678587945121,0.20514773073408468,0.2751388888888889,0.15618479701200044,0.6025738653670423,0.7248611111111111,0.7248611111111111,5219.0,434.9166666666667,261.0,92.0,169.0,203.0,111.0,0.3524904214559387,0.45320197044334976,0.396551724137931,14.083333333333329,scikit_learn
17,Kinetic-TopoGuard,0.4429065743944637,0.807570977917981,0.5720670391061452,0.9019189765458422,0.8936111111111111,0.6415865692016987,0.9430889074872851,0.1457822930261134,0.3094524801432409,644.0,53.666666666666664,109.0,73.0,36.0,203.0,130.0,0.6697247706422018,0.35960591133004927,0.467948717948718,2.999999999999999,scikit_learn
17,GCN,0.16973293768545994,0.9022082018927445,0.2857142857142857,0.5738653670423394,0.6027777777777777,0.20503882777063784,0.7380367844675418,0.3972222222222222,0.39722222222222225,2798.0,233.16666666666666,290.0,88.0,202.0,203.0,115.0,0.30344827586206896,0.43349753694581283,0.35699797160243407,16.83333333333333,pytorch
17,GAT,0.1369990680335508,0.9274447949526814,0.2387332521315469,0.43588181541273224,0.4791666666666667,0.17622081191922984,0.6816633051827068,0.5208333333333334,0.5208333333333334,3704.0,308.6666666666667,361.0,96.0,265.0,203.0,107.0,0.2659279778393352,0.4729064039408867,0.3404255319148936,22.083333333333325,pytorch
17,GraphSAGE,0.1387482742751956,0.9511041009463722,0.2421686746987952,0.42994212610417304,0.47583333333333333,0.17894105804989693,0.6905231135252725,0.5241666666666667,0.5241666666666667,3743.0,311.9166666666667,317.0,93.0,224.0,203.0,110.0,0.29337539432176657,0.458128078817734,0.35769230769230775,18.66666666666666,pytorch
17,PI+MLP,0.08805555555555555,1.0,0.16185856522849118,0.0,0.08805555555555555,0.13196012804041027,0.5,0.9119444444444444,0.9119444444444444,6566.0,547.1666666666666,169.0,92.0,77.0,203.0,111.0,0.5443786982248521,0.45320197044334976,0.4946236559139785,6.416666666666665,pytorch
17,FANET-TopoGNN,0.11289459604066346,0.998422712933754,0.20285210703412912,0.24246116356990557,0.3090277777777778,0.15413180061960202,0.6204419382518298,0.6909722222222222,0.6909722222222223,4974.0,414.5,205.0,95.0,110.0,203.0,108.0,0.4634146341463415,0.46798029556650245,0.465686274509804,9.166666666666664,pytorch
17,FANET-TopoGNN (concat),0.11255103852298953,1.0,0.2023296633157811,0.23865367042339325,0.30569444444444444,0.1536835739976139,0.6193268352116966,0.6943055555555555,0.6943055555555555,4999.0,416.5833333333333,190.0,93.0,97.0,203.0,110.0,0.48947368421052634,0.458128078817734,0.47328244274809167,8.08333333333333,pytorch
17,T-GCN (w=5),0.1776485788113695,0.9016393442622951,0.2968159740960605,0.6050263729444617,0.6306689342403629,0.15319230425187108,0.7533328586033783,0.3693310657596372,0.3693310657596372,2546.0,216.49659863945578,193.0,85.0,108.0,200.0,115.0,0.44041450777202074,0.425,0.43256997455470736,9.183673469387756,pytorch
17,STGCN (w=5),0.1619574715991844,0.9114754098360656,0.27504328468958694,0.5536766987278933,0.5846088435374149,0.1332183529632962,0.7325760542819795,0.415391156462585,0.415391156462585,2877.0,244.64285714285714,267.0,98.0,169.0,200.0,102.0,0.36704119850187267,0.49,0.4197002141327623,14.370748299319729,pytorch
17,TGN (w=5),0.19765309864319766,0.8836065573770492,0.3230446508840276,0.6605646912814148,0.6798469387755102,0.16245180406992227,0.772085624329232,0.3201530612244898,0.3201530612244898,2188.0,186.0544217687075,175.0,85.0,90.0,200.0,115.0,0.4857142857142857,0.425,0.45333333333333337,7.653061224489796,pytorch
27,Current-state persistence baseline,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,0.8311558330895801,0.911298245614035,0.06111111111111111,0.061111111111111116,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,deterministic_persistence_baseline
27,Shallow ML,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,0.2523513713476976,0.5019298245614034,0.7886111111111112,0.788611111111111,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,scikit_learn
27,Kinetic-TopoGuard,0.7378335949764521,0.94,0.8267370272647317,0.9121052631578948,0.9179166666666667,0.9528797153123073,0.9833601169590643,0.06668830897213085,0.16385215014674934,501.0,41.75,113.0,78.0,35.0,169.0,91.0,0.6902654867256637,0.46153846153846156,0.5531914893617021,2.9166666666666656,scikit_learn
27,GCN,0.25951016154247003,0.996,0.41174038859032663,0.2521052631578947,0.40708333333333335,0.29848255602725954,0.6240526315789474,0.5929166666666666,0.5929166666666668,4263.0,355.25,286.0,80.0,206.0,169.0,89.0,0.27972027972027974,0.47337278106508873,0.3516483516483516,17.16666666666666,pytorch
27,GAT,0.2905667701863354,0.998,0.45009019843656045,0.3587719298245614,0.49194444444444446,0.33606373981242477,0.6783859649122808,0.5080555555555556,0.5080555555555554,3655.0,304.5833333333333,280.0,82.0,198.0,169.0,87.0,0.29285714285714287,0.48520710059171596,0.36525612472160357,16.499999999999996,pytorch
27,GraphSAGE,0.2993006993006993,0.9986666666666667,0.4605687932359723,0.38473684210526315,0.5126388888888889,0.3512947656177876,0.6917017543859649,0.48736111111111113,0.48736111111111113,3507.0,292.25,291.0,84.0,207.0,169.0,85.0,0.28865979381443296,0.4970414201183432,0.36521739130434777,17.249999999999996,pytorch
27,PI+MLP,0.30242598684210525,0.9806666666666667,0.46228786926461346,0.4047368421052632,0.5247222222222222,0.3516171221291902,0.6927017543859648,0.4752777777777778,0.4752777777777778,3393.0,282.75,161.0,78.0,83.0,169.0,91.0,0.484472049689441,0.46153846153846156,0.4727272727272728,6.916666666666664,pytorch
27,FANET-TopoGNN,0.2616512480363065,0.9993333333333333,0.4147184949508922,0.2578947368421053,0.4123611111111111,0.3134834734650829,0.6286140350877193,0.5876388888888889,0.5876388888888889,4230.0,352.5,176.0,80.0,96.0,169.0,89.0,0.45454545454545453,0.47337278106508873,0.46376811594202894,7.999999999999997,pytorch
27,FANET-TopoGNN (concat),0.2993374824332463,0.994,0.4601141799105076,0.387719298245614,0.5140277777777778,0.3553989153183823,0.690859649122807,0.48597222222222225,0.4859722222222222,3490.0,290.8333333333333,178.0,79.0,99.0,169.0,90.0,0.4438202247191011,0.46745562130177515,0.45533141210374634,8.249999999999998,pytorch
27,T-GCN (w=5),0.2903225806451613,0.9958762886597938,0.44958113558796153,0.3676129262631673,0.4971655328798186,0.7093919390407653,0.6817446074614806,0.5028344671201814,0.5028344671201815,3542.0,301.1904761904762,166.0,77.0,89.0,163.0,86.0,0.463855421686747,0.4723926380368098,0.46808510638297873,7.568027210884354,pytorch
27,STGCN (w=5),0.23260278355463126,0.9993127147766323,0.37736828445367243,0.1435457953936797,0.32001133786848074,0.6884363113260695,0.5714292550851561,0.6799886621315193,0.6799886621315192,4797.0,407.90816326530614,201.0,76.0,125.0,163.0,87.0,0.3781094527363184,0.4662576687116564,0.4175824175824176,10.629251700680273,pytorch
27,TGN (w=5),0.20620748299319727,1.0,0.3419104688050758,0.0,0.20620748299319727,0.6804659548666051,0.5,0.7937925170068028,0.7937925170068028,5601.0,476.2755102040816,139.0,76.0,63.0,163.0,87.0,0.5467625899280576,0.4662576687116564,0.5033112582781456,5.357142857142858,pytorch
