Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,Alert_Events,True_Alert_Events,False_Alert_Events,Ground_Truth_Fragmentation_Events,Missed_Fragmentation_Events,Alert_Event_Precision,Alert_Event_Recall,Alert_Event_F1,False_Alert_Events_per_minute,seed,Model_Backend
Current-state persistence baseline,0.08458333333333333,0.11291666666666667,0.5733402995233315,0.03179166666666666,0.13975694444444445,0.054737992018294906,0.7233075588731349,0.22717855555432234,0.8502415458937198,0.859375,0.8547838756677999,0.9749028497409327,0.9584722222222222,0.8400506388108903,0.9171389248704663,0.041527777777777775,0.041527777777777775,155.0,12.916666666666666,0.0,0.0,0.0,129.0,129.0,0.0,0.0,0.0,0.0,7,deterministic_persistence_baseline
Kinetic-TopoGuard,0.08458333333333333,0.11291666666666667,0.5733402995233315,0.03179166666666666,0.13975694444444445,0.054737992018294906,0.7233075588731349,5.589933027788193,0.7285491419656787,0.912109375,0.8100607111882047,0.9436528497409327,0.9391666666666667,0.9443154121604526,0.9824965086625648,0.036943608251271826,0.11204701717604054,348.0,29.0,88.0,46.0,42.0,129.0,83.0,0.5227272727272727,0.35658914728682173,0.42396313364055305,3.499999999999999,7,scikit_learn
Shallow ML,0.1489548225466956,0.10305139004381786,0.6106166033080473,0.09036564120071687,0.21087008447149636,0.1856453197686525,0.6813202895865224,0.028225638881041144,0.17716262975778546,1.0,0.3009994121105232,0.22992227979274613,0.33944444444444444,0.20515705169414866,0.614961139896373,0.6605555555555556,0.6605555555555556,4756.0,396.3333333333333,198.0,49.0,149.0,129.0,80.0,0.2474747474747475,0.3798449612403101,0.2996941896024465,12.416666666666663,7,scikit_learn
PI+MLP,0.15205112372007634,0.11904526300249837,0.5501831770702981,0.09509086964382893,0.21483115655763282,0.2542125074204699,0.652898692843603,0.05676874934579246,0.19709302325581396,0.9931640625,0.32891332470892626,0.3291774611398964,0.4236111111111111,0.1940930280932705,0.6611707618199482,0.5763888888888888,0.576388888888889,4143.0,345.25,150.0,49.0,101.0,129.0,80.0,0.32666666666666666,0.3798449612403101,0.35125448028673834,8.416666666666664,7,pytorch
FANET-TopoGNN (concat),0.18157570309937,0.11167279293411111,0.5780403213166565,0.1257118996505936,0.24355344516970218,0.25720999431715563,0.6605795951584512,0.05609062463918235,0.18549410698096103,0.9990234375,0.3128918794922771,0.27266839378238344,0.3759722222222222,0.1952066530486643,0.6358459156411918,0.6240277777777777,0.6240277777777778,4492.0,374.3333333333333,160.0,49.0,111.0,129.0,80.0,0.30625,0.3798449612403101,0.3391003460207613,9.249999999999996,7,pytorch
FANET-TopoGNN,0.18329974657131565,0.12432965686786027,0.5302159041215507,0.12802326359889574,0.25267099907373386,0.2751480528093362,0.604535892877144,0.06018281237629708,0.2043225935561337,0.9970703125,0.3391463212091015,0.35621761658031087,0.4473611111111111,0.21598617213835708,0.6766439645401554,0.5526388888888889,0.5526388888888889,3976.0,331.3333333333333,183.0,50.0,133.0,129.0,79.0,0.273224043715847,0.3875968992248062,0.3205128205128205,11.08333333333333,7,pytorch
GraphSAGE,0.19161165978345607,0.120419990254662,0.5449887205302664,0.13168053467861482,0.25503740615190734,0.18328173095320544,0.628147718333121,0.054041405746829696,0.16473616473616473,1.0,0.2828729281767956,0.15932642487046633,0.2788888888888889,0.15810791047748796,0.5796632124352332,0.7211111111111111,0.7211111111111111,5192.0,432.6666666666667,233.0,49.0,184.0,129.0,80.0,0.21030042918454936,0.3798449612403101,0.27071823204419887,15.333333333333329,7,pytorch
TGN (w=5),0.22845079675485758,0.1695393063880894,0.3585897716566335,0.15820905131344892,0.29736481670019915,-0.9535644493530296,0.5868221791439205,0.7955593746373779,0.2786377708978328,0.989010989010989,0.4347826086956521,0.5767134599504542,0.6352040816326531,0.8757864512390074,0.7828622244807216,0.3647959183673469,0.36479591836734687,2563.0,217.9421768707483,128.0,49.0,79.0,126.0,77.0,0.3828125,0.3888888888888889,0.38582677165354334,6.717687074829932,7,pytorch
STGCN (w=5),0.229959298339155,0.17967110157041685,0.32025861884096163,0.15183127941162478,0.31414018267334826,-0.49060495245916363,0.45100863978719535,0.2448726563670789,0.22172452407614782,0.989010989010989,0.36223929747530187,0.42609413707679605,0.5059523809523809,0.8716111003189446,0.7075525630438926,0.49404761904761907,0.494047619047619,3475.0,295.49319727891157,164.0,52.0,112.0,126.0,74.0,0.3170731707317073,0.4126984126984127,0.35862068965517246,9.523809523809524,7,pytorch
GAT,0.23170967616968685,0.1409350118284571,0.4674719710694739,0.16485985406074258,0.30118540486569206,-0.18824452092197974,0.5613323254365548,0.14561406260327203,0.15083222860509649,1.0,0.2621272238576731,0.0665479274611399,0.19930555555555557,0.14013527020332814,0.5332739637305699,0.8006944444444445,0.8006944444444444,5765.0,480.4166666666667,204.0,49.0,155.0,129.0,80.0,0.24019607843137256,0.3798449612403101,0.29429429429429427,12.916666666666663,7,pytorch
