Model,Lead_5th_ms_mean,Lead_5th_ms_ci95_low,Lead_5th_ms_ci95_high,Lead_median_ms_mean,Lead_median_ms_ci95_low,Lead_median_ms_ci95_high,Lead_IQR_ms_mean,Lead_IQR_ms_ci95_low,Lead_IQR_ms_ci95_high,Lead_95th_ms_mean,Lead_95th_ms_ci95_low,Lead_95th_ms_ci95_high,Lead_mean_ms_mean,Lead_mean_ms_ci95_low,Lead_mean_ms_ci95_high,Lead_norm_mean_mean,Lead_norm_mean_ci95_low,Lead_norm_mean_ci95_high
FANET-TopoGNN,136.6666666666667,74.34263884075963,198.9906944925738,600.0000000000001,600.0000000000001,600.0000000000001,133.33333333333346,68.00000000000013,198.6666666666668,600.0000000000001,600.0000000000001,600.0000000000001,511.2976092372798,480.4167382879271,542.1784801866326,0.566754692858714,0.5451997021326017,0.5883096835848264
FANET-TopoGNN (concat),136.6666666666667,74.34263884075963,198.9906944925738,600.0000000000001,600.0000000000001,600.0000000000001,133.33333333333346,68.00000000000013,198.6666666666668,600.0000000000001,600.0000000000001,600.0000000000001,510.2838942700765,472.3754488726907,548.1923396674622,0.5657265173512929,0.545159383949664,0.5862936507529217
GAT,100.0,0.0,213.16065276116666,600.0000000000001,600.0000000000001,600.0000000000001,183.33333333333346,96.90545717189016,269.7612094947767,600.0000000000001,600.0000000000001,600.0000000000001,492.4409246227765,442.56913636642736,542.3127128791257,0.5414694527899845,0.506677744514399,0.57626116106557
GCN,100.0,0.0,213.16065276116666,600.0000000000001,600.0000000000001,600.0000000000001,233.33333333333346,60.47758101044687,406.1890856562201,600.0000000000001,600.0000000000001,600.0000000000001,479.23662229380574,412.0323706176142,546.4408739699973,0.5283859777461721,0.4737978510521977,0.5829741044401466
Shallow ML,136.6666666666667,74.34263884075963,198.9906944925738,600.0000000000001,600.0000000000001,600.0000000000001,133.33333333333346,68.00000000000013,198.6666666666668,600.0000000000001,600.0000000000001,600.0000000000001,514.8066225852914,482.6265244377154,546.9867207328674,0.5697901715334646,0.5520814908342223,0.5874988522327068
GraphSAGE,133.33333333333334,68.00000000000001,198.66666666666669,600.0000000000001,600.0000000000001,600.0000000000001,166.66666666666677,101.33333333333344,232.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,499.56677843298036,458.8749935250137,540.258563340947,0.549730629201197,0.5299848527513638,0.5694764056510302
PI+MLP,103.33333333333337,96.79999999999994,109.8666666666668,600.0000000000001,600.0000000000001,600.0000000000001,166.66666666666677,36.00000000000014,297.33333333333337,600.0000000000001,600.0000000000001,600.0000000000001,496.798274344385,454.70218591970206,538.8943627690679,0.5603248212745199,0.5345841943103355,0.5860654482387042
STGCN (w=5),66.66666666666667,1.3333333333333286,132.0,600.0000000000001,600.0000000000001,600.0000000000001,233.33333333333346,60.47758101044687,406.1890856562201,600.0000000000001,600.0000000000001,600.0000000000001,480.1078975557503,432.84710870147114,527.3686864100295,0.5347335996934505,0.48142424219401897,0.588042957192882
TGN (w=5),41.666666666666664,0.0,100.55733749924516,566.6666666666666,501.3333333333332,632.0,241.66666666666677,53.30147762037711,430.0318557129564,600.0000000000001,600.0000000000001,600.0000000000001,461.37721946310904,392.9133074884986,529.8411314377195,0.5166383225140367,0.4407999303288124,0.5924767146992611
T-GCN (w=5),133.33333333333334,0.0,306.18908565621996,566.6666666666666,501.3333333333332,632.0,233.33333333333346,60.47758101044687,406.1890856562201,600.0000000000001,600.0000000000001,600.0000000000001,477.2486285584445,399.53144551230616,554.9658116045829,0.5327316962631427,0.45887939373240844,0.6065839987938769
Kinetic-TopoGuard,0.0,0.0,0.0,200.0,200.0,200.0,566.6666666666666,501.3333333333332,632.0,600.0000000000001,600.0000000000001,600.0000000000001,268.62824493445675,259.03212888644504,278.22436098246845,0.3398449817779932,0.3204859637723266,0.35920399978365986
Current-state persistence baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
