Connectivity ratio,Reachability-delivery proxy (%),Proxy delay (ms),Proactive reroute (%),DTN buffered (%),Relay actions,Model,seed
0.9383333333333334,99.7913868159204,18.422983456470604,1.99863184079602,0.3234141791044776,2295.0,Kinetic-TopoGuard,7
0.9358333333333333,99.80335820895522,18.23396193260628,32.79446517412935,0.36890547263681595,7968.0,GCN,7
0.9361111111111111,99.80416666666666,18.234322064789815,32.15205223880597,0.3673507462686567,7824.0,GAT,7
0.9358333333333333,99.80335820895522,18.24902264278388,28.119713930348258,0.36890547263681595,7251.0,GraphSAGE,7
0.9370833333333334,99.80618781094527,18.24835104853405,23.27276119402985,0.36234452736318407,6031.0,FANET-TopoGNN,7
0.9361111111111111,99.80416666666666,18.24169969673197,26.034701492537312,0.3673507462686567,6550.0,FANET-TopoGNN (concat),7
0.9534722222222223,99.83028606965173,18.37725374718661,1.7353855721393034,0.28016169154228854,1810.0,Kinetic-TopoGuard,17
0.9530555555555555,99.83706467661692,18.176006615256203,17.267599502487563,0.282773631840796,4016.0,GCN,17
0.95375,99.84564676616915,18.149212590578244,22.89228855721393,0.2872512437810945,4953.0,GAT,17
0.9515277777777778,99.84123134328358,18.198135783990377,18.473072139303483,0.29583333333333334,5007.0,GraphSAGE,17
0.9509722222222222,99.8407027363184,18.131052668787998,25.936256218905474,0.2969216417910448,6268.0,FANET-TopoGNN,17
0.9508333333333333,99.84029850746269,18.136851950129312,25.53084577114428,0.29769900497512436,6294.0,FANET-TopoGNN (concat),17
0.8255555555555556,99.43544776119403,19.347146077169494,2.111691542288557,1.0623134328358208,3443.0,Kinetic-TopoGuard,27
0.8240277777777778,99.42639925373135,19.087352109566282,25.24365671641791,1.0791355721393034,7289.0,GCN,27
0.8241666666666667,99.4265236318408,19.082024182837085,22.497699004975125,1.078886815920398,6684.0,GAT,27
0.82375,99.42646144278606,19.107002068768168,19.81044776119403,1.0790733830845771,6537.0,GraphSAGE,27
0.8234722222222223,99.42444029850746,19.0695404833166,25.788370646766168,1.0806592039800995,7260.0,FANET-TopoGNN,27
0.8234722222222223,99.42325870646766,19.08979243472615,20.717723880597013,1.0794776119402985,6511.0,FANET-TopoGNN (concat),27
