Model,MAE_mean,MAE_ci95_low,MAE_ci95_high,MSE_mean,MSE_ci95_low,MSE_ci95_high,R2_mean,R2_ci95_low,R2_ci95_high,Inference_ms_mean,Inference_ms_ci95_low,Inference_ms_ci95_high,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high,Risk_PR_AUC_mean,Risk_PR_AUC_ci95_low,Risk_PR_AUC_ci95_high,Risk_ROC_AUC_mean,Risk_ROC_AUC_ci95_low,Risk_ROC_AUC_ci95_high,Risk_Brier_mean,Risk_Brier_ci95_low,Risk_Brier_ci95_high,Risk_ECE_mean,Risk_ECE_ci95_low,Risk_ECE_ci95_high,False_Alarms_mean,False_Alarms_ci95_low,False_Alarms_ci95_high,False_Alarms_per_minute_mean,False_Alarms_per_minute_ci95_low,False_Alarms_per_minute_ci95_high,Alert_Events_mean,Alert_Events_ci95_low,Alert_Events_ci95_high,True_Alert_Events_mean,True_Alert_Events_ci95_low,True_Alert_Events_ci95_high,False_Alert_Events_mean,False_Alert_Events_ci95_low,False_Alert_Events_ci95_high,Ground_Truth_Fragmentation_Events_mean,Ground_Truth_Fragmentation_Events_ci95_low,Ground_Truth_Fragmentation_Events_ci95_high,Missed_Fragmentation_Events_mean,Missed_Fragmentation_Events_ci95_low,Missed_Fragmentation_Events_ci95_high,Alert_Event_Precision_mean,Alert_Event_Precision_ci95_low,Alert_Event_Precision_ci95_high,Alert_Event_Recall_mean,Alert_Event_Recall_ci95_low,Alert_Event_Recall_ci95_high,Alert_Event_F1_mean,Alert_Event_F1_ci95_low,Alert_Event_F1_ci95_high,False_Alert_Events_per_minute_mean,False_Alert_Events_per_minute_ci95_low,False_Alert_Events_per_minute_ci95_high
Current-state persistence baseline,0.11953703703703704,0.07708947287820887,0.16198460119586522,0.16694444444444445,0.10049192023918171,0.2333969686497072,0.42492878104246223,0.14582761205684996,0.7040299500280744,0.2246310138865805,0.22122507024051677,0.22803695753264422,0.7534970229760954,0.5680646540194637,0.9389293919327272,0.7705676919032597,0.5919536975884225,0.9491816862180968,0.7619089727401137,0.5797787116593972,0.9440392338208302,0.9632123399737269,0.9516714815273408,0.974753198420113,0.9403703703703702,0.9206708502248353,0.9600698905159051,0.7100079994042169,0.46378989597992865,0.9562261028285051,0.8668900159384932,0.7740671749846029,0.9597128568923836,0.05962962962962962,0.03993010948409474,0.0793291497751645,0.05962962962962962,0.03993010948409474,0.0793291497751645,226.33333333333334,150.48755179093126,302.1791148757354,18.86111111111111,12.540629315910937,25.181592906311284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,125.08470764347058,208.91529235652942,167.0,125.08470764347058,208.91529235652942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kinetic-TopoGuard,0.11953703703703704,0.07708947287820887,0.16198460119586522,0.16694444444444445,0.10049192023918171,0.2333969686497072,0.42492878104246223,0.14582761205685008,0.7040299500280744,5.359517175933838,4.951068621644703,5.767965730222972,0.6364297704455314,0.44670429867240913,0.8261552422186537,0.886560117639327,0.8075586234368382,0.9655616118418158,0.7362882591863605,0.5750751048565799,0.8975014135161412,0.9192256964815565,0.8946030599059237,0.9438483330571893,0.9168981481481482,0.891103346870048,0.9426929494262484,0.8462605655581529,0.6456215252818253,1.0,0.9696485110363048,0.9436155134047329,0.9956815086678766,0.08313807008317202,0.019481699483876652,0.1467944406824674,0.19511721582201025,0.07929820013506532,0.31093623150895516,497.6666666666667,330.1570453177888,665.1762880155445,41.47222222222222,27.513087109815732,55.431357334628714,103.33333333333333,88.13718762317234,118.52947904349432,65.66666666666667,46.18681268592259,85.14652064741075,37.666666666666664,33.382473497456026,41.9508598358773,167.0,125.08470764347058,208.91529235652942,101.33333333333333,72.87768519256677,129.7889814740999,0.6275725100317128,0.5241689761212703,0.7309760439421552,0.3925778400517775,0.32497487901851235,0.4601808010850426,0.4817011136503244,0.40735156556197166,0.5560506617386771,3.138888888888888,2.781872791454668,3.495904986323108
Shallow ML,0.1813724962969415,0.13851743445288534,0.22422755814099765,0.16184768445481204,0.08987310677802367,0.2338222621316004,0.4470665309471233,0.17333005669968599,0.7208030051945606,0.029402986105264123,0.02815012640029825,0.030655845810229995,0.1648183358686483,0.10659875585217199,0.22303791588512462,1.0,1.0,1.0,0.28072301516915943,0.19342848942029667,0.3680175409180222,0.14630988654987928,0.006006661168533711,0.28661311193122485,0.27532407407407405,0.20286959550763412,0.347778552640514,0.2045644066846156,0.15014994542931065,0.25897886793992053,0.5731549432749395,0.5030033305842667,0.6433065559656124,0.724675925925926,0.6522214473594861,0.7971304044923659,0.7246759259259258,0.6522214473594858,0.7971304044923657,5217.666666666667,4695.9944209883,5739.338912345034,434.8055555555556,391.3328684156916,478.2782426954196,200.33333333333334,132.96392649478548,267.7027401718812,73.33333333333333,48.3780524404152,98.28861422625145,127.0,63.26734170510904,190.73265829489097,167.0,125.08470764347058,208.91529235652942,93.66666666666667,75.76247224810157,111.57086108523177,0.38543439903323345,0.20772132843079907,0.5631474696356679,0.433500850995145,0.38030321668741557,0.48669848530287446,0.4014281663164602,0.28344939889579773,0.5194069337371228,10.58333333333333,5.272278475425753,15.894388191240907
GraphSAGE,0.2242881390783522,0.1817831418032324,0.266793136353472,0.16114008705973987,0.09612267469842087,0.22615749942105887,0.45751342099669046,0.26493144324818746,0.6500953987451934,0.10048437464623323,0.0108558837944,0.19011286549806647,0.20092837943735323,0.10340859569272129,0.2984481631819852,0.9832569225376796,0.9517381277267801,1.0,0.3285367987038543,0.19711179663864348,0.4599618007690652,0.3246684643599675,0.16062699475201497,0.48870993396792,0.4224537037037037,0.28022735443150426,0.5646800529759032,0.22944791138172416,0.10945760929227871,0.3494382134711696,0.6539626934488235,0.5811461482390987,0.7267792386585483,0.5775462962962964,0.43531994702409693,0.7197726455684959,0.5775462962962964,0.43531994702409693,0.7197726455684959,4147.333333333333,3114.8886693547847,5179.777997311881,345.61111111111114,259.5740557795654,431.6481664426569,280.3333333333333,231.66986677187904,328.9967998947876,75.33333333333333,49.02905907144873,101.63760759521793,205.0,182.28315749640075,227.71684250359925,167.0,125.08470764347058,208.91529235652942,91.66666666666667,73.47863641475527,109.85469691857807,0.26411187244024964,0.21130920578461715,0.31691453909588213,0.44500482005879577,0.37745902420292204,0.5125506159146695,0.3312093103469515,0.2717753507513534,0.3906432699425496,17.08333333333333,15.190263124700058,18.976403541966597
STGCN (w=5),0.23311923793429057,0.17796869471199459,0.2882697811565865,0.18497907976770936,0.13775064451701988,0.23220751501839884,0.3536176219807241,0.13704118073912389,0.5701940632223244,0.5010401040029441,0.07904692877500807,0.9230332792308801,0.20542825974332116,0.16238455641356378,0.24847196307307853,0.966599704541229,0.9122643555086449,1.0,0.33821695553952047,0.2757177822378793,0.40071612884116165,0.37443887706612294,0.1369280673675194,0.6119496867647265,0.4701908541194255,0.3164333613001175,0.6239483469387335,0.5644219215361034,0.12931863925481557,0.9995252038173912,0.670519290803676,0.5723843386610579,0.7686542429462941,0.5298091458805745,0.3760516530612664,0.6835666386998825,0.5298091458805744,0.37605165306126637,0.6835666386998824,3716.3333333333335,2604.5442690869822,4828.122397579685,316.01473922902494,221.47485281351885,410.55462564453103,210.66666666666666,151.6239822952919,269.7093510380414,75.33333333333333,49.298184442309534,101.36848222435712,135.33333333333334,101.53004092301069,169.136625743656,163.0,121.13055847836834,204.86944152163164,87.66666666666667,71.81070949663818,103.52262383669516,0.3540746073232995,0.31727640037358174,0.39087281427301723,0.4563186938033564,0.4115097720079012,0.5011276155988116,0.39863444045678414,0.3594026612324399,0.4378662196811284,11.507936507936508,8.63350688120839,14.382366134664625
PI+MLP,0.23431713894285536,0.15350380136655914,0.3151304765191516,0.21904830587802823,0.08592727893087379,0.3521693328251827,0.28521796830045604,-0.04515975375507414,0.6155956903559863,0.04129713518826369,0.026025496198173667,0.05656877417835371,0.19585818855115825,0.0745606621785787,0.3171557149237378,0.9912769097222222,0.9801828102884431,1.0,0.317686586400677,0.14734701905580216,0.4880261537455518,0.24463810108171988,0.0011108146291052834,0.48816538753433447,0.3454629629629629,0.08679792245218632,0.6041280034737395,0.2258900927542903,0.09776050502285324,0.3540196804857274,0.617957505401971,0.5009905980109013,0.7349244127930408,0.654537037037037,0.39587199652626043,0.9132020775478136,0.654537037037037,0.39587199652626043,0.9132020775478136,4700.666666666667,2824.0323138838867,6577.301019449447,391.7222222222222,235.3360261569905,548.1084182874538,160.0,149.20516172731925,170.79483827268075,73.0,48.181931313389164,97.81806868661084,87.0,72.86623900018117,101.13376099981883,167.0,125.08470764347058,208.91529235652942,94.0,76.21540741728016,111.78459258271984,0.45183913819365323,0.32457333138744326,0.5791049449998632,0.4315284644073738,0.380659476541268,0.4823974522734796,0.43953513630932983,0.3521375328743985,0.5269327397442612,7.249999999999997,6.072186583348428,8.427813416651567
TGN (w=5),0.24542542516577,0.20410607379966922,0.2867447765318708,0.21121638020327194,0.16768552463486575,0.2547472357716781,0.22039333914067138,-0.22716111872897443,0.6679477970103171,0.6052614583798762,0.4090983266722694,0.801424590087483,0.22749945084474257,0.17715071429492807,0.2778481873945571,0.9575391821293461,0.8848189176016725,1.0,0.36657924279491855,0.29889295616037487,0.4342655294294622,0.412426050410623,0.005473544553982468,0.8193785562672635,0.5070861678004535,0.21114513367538928,0.8030272019255176,0.572901403391845,0.15575559712485398,0.9900472096588361,0.6849826162699846,0.5035971379739558,0.8663680945660134,0.4929138321995465,0.1969727980744823,0.7888548663246107,0.4929138321995465,0.1969727980744823,0.7888548663246107,3450.6666666666665,1332.6854509698783,5568.647882363455,293.4240362811791,113.32359276954747,473.5244797928107,147.33333333333334,119.51483269476948,175.1518339718972,70.0,48.799358500271744,91.20064149972825,77.33333333333333,61.96957800536166,92.697088661305,163.0,121.13055847836834,204.86944152163164,93.0,70.70993644393688,115.29006355606312,0.4717631252141145,0.3779974943839075,0.5655287560443215,0.42671551920018175,0.3829077393427918,0.4705232990575717,0.44749045442167407,0.3807711833017544,0.5142097255415937,6.575963718820862,5.269521939231435,7.882405498410289
GCN,0.25747057224037473,0.22106583834611337,0.2938753061346361,0.19919533802664272,0.1556853005167262,0.24270537553655924,0.2908779637764777,-0.0528094495204427,0.6345653770733981,0.12017083342167705,0.05146753168485163,0.18887413515850246,0.19231416928444822,0.12529243683769228,0.25933590173120413,0.9660694006309148,0.903444517153817,1.0,0.31827937009098073,0.2252954555789149,0.41126328460304656,0.28973416516173606,0.0,0.5922245260176973,0.39638888888888885,0.15655781521582005,0.6362199625619577,0.21395957112773564,0.12293938000712319,0.3049797622483481,0.6279017828963255,0.5053920708250174,0.7504114949676336,0.603611111111111,0.3637800374380422,0.8434421847841798,0.6036111111111112,0.3637800374380423,0.8434421847841801,4323.333333333333,2562.126609092504,6084.540057574162,360.2777777777778,213.51055075770876,507.0450047978469,250.33333333333334,176.47198454762238,324.1946821190443,72.33333333333333,49.02297130744927,95.64369535921739,178.0,126.98976834660195,229.01023165339805,167.0,125.08470764347058,208.91529235652942,94.66666666666667,74.099633714769,115.23369961856434,0.2877228518607829,0.272311123679458,0.3031345800421078,0.4289050930837372,0.3757957090892734,0.482014477078201,0.34367158143447246,0.3225762051405708,0.36476695772837414,14.833333333333329,10.582480695550158,19.084185971116497
T-GCN (w=5),0.265217111021483,0.20549323266083436,0.3249409893821316,0.22467611653891253,0.1863053954668424,0.2630468376109827,0.19028037545752116,-0.16813548625398708,0.5486962371690294,0.23959687496244442,0.14156190050897643,0.3376318494159124,0.20327874627387002,0.11560599027807089,0.29095150226966915,0.9658385443073629,0.9028800796208222,1.0,0.3316255642184504,0.21283792505396168,0.4504132033829391,0.3242130997358763,0.0,0.6691710333709777,0.4232331821617536,0.1373332990885186,0.7091330652349885,0.5701878358421147,0.15407722513168026,0.9862984465525493,0.6450258220216196,0.49724136185049583,0.7928102821927434,0.5767668178382465,0.2908669347650115,0.8626667009114815,0.5767668178382465,0.29086693476501146,0.8626667009114815,4047.6666666666665,2001.352719514101,6093.9806138192325,344.18934240362813,170.1830543804508,518.1956304268055,158.0,113.17638122596526,202.82361877403474,70.0,47.96997200788584,92.03002799211416,88.0,64.78137529194863,111.21862470805137,163.0,121.13055847836834,204.86944152163164,93.0,70.96997200788584,115.03002799211416,0.4405537446021979,0.41426384124696053,0.4668436479574353,0.42611500632973026,0.37436627256156557,0.47786374009789495,0.4329984433001139,0.3935343414030876,0.4724625451971402,7.482993197278913,5.508620347954817,9.457366046603008
GAT,0.2701135381531936,0.2234205627999646,0.31680651350642264,0.2295882753638269,0.13462616161650978,0.324550389111144,0.1921878154840894,-0.2934582036127785,0.6778338345809573,0.23935208325080262,0.14747214707743417,0.3312320194241711,0.19279935560832753,0.0966681349445724,0.2889305762720827,0.975148264984227,0.9283851706396147,1.0,0.31698355814192686,0.18586921324950895,0.44809790303434477,0.28706722423281117,0.06659828501501486,0.5075361634506075,0.39013888888888887,0.20298253101067334,0.5772952467671044,0.21747327397832758,0.09947478683723456,0.3354717611194206,0.6311077446085192,0.5352127090112617,0.7270027802057766,0.6098611111111111,0.4227047532328956,0.7970174689893266,0.6098611111111111,0.4227047532328956,0.7970174689893266,4374.666666666667,3011.8579649366293,5737.475368396705,364.5555555555556,250.9881637447191,478.1229473663921,281.6666666666667,192.82053950790353,370.51279382542987,75.66666666666667,48.35920899583168,102.97412433750166,206.0,143.26979249728777,268.73020750271223,167.0,125.08470764347058,208.91529235652942,91.33333333333333,75.47737616330484,107.18929050336182,0.2663270663759502,0.23652869747883065,0.2961254352730698,0.4459861552576376,0.380795208296496,0.5111771022187791,0.3333253169769305,0.2925764010774858,0.37407423287637526,17.16666666666666,11.939149374773976,22.394183958559346
