mobility,n_nodes,link_model,graph_policy,radio_scenario,snapshots,beta_fixed_mean,beta_adaptive_mean,beta_current_mean,connected_ratio,frag_rate,edge_count_mean,edge_count_fixed_mean,edge_count_adaptive_mean,radius_mean,radius_adaptive_mean
gm,10,physical,adaptive,degraded,600,3.3966666666666665,3.255,3.255,0.245,0.75,9.263333333333334,8.911666666666667,9.263333333333334,492.03,492.03
gm,10,physical,adaptive,nominal,600,1.6533333333333333,1.55,1.55,0.48333333333333334,0.5066666666666667,20.968333333333334,17.628333333333334,20.968333333333334,492.03,492.03
gm,10,physical,fixed,degraded,600,3.3966666666666665,3.255,3.3966666666666665,0.22,0.7733333333333333,8.911666666666667,8.911666666666667,9.263333333333334,420.0,492.03
gm,10,physical,fixed,nominal,600,1.6533333333333333,1.55,1.6533333333333333,0.38333333333333336,0.6066666666666667,17.628333333333334,17.628333333333334,20.968333333333334,420.0,492.03
gm,20,physical,adaptive,degraded,600,1.7166666666666666,1.4633333333333334,1.4633333333333334,0.5933333333333334,0.4066666666666667,43.318333333333335,39.27,43.318333333333335,567.0,567.0
gm,20,physical,adaptive,nominal,600,1.0166666666666666,1.0016666666666667,1.0016666666666667,0.9983333333333333,0.0016666666666666668,104.025,71.93833333333333,104.025,567.0,567.0
gm,20,physical,fixed,degraded,600,1.7166666666666666,1.4633333333333334,1.7166666666666666,0.43666666666666665,0.5616666666666666,39.27,39.27,43.318333333333335,420.0,567.0
gm,20,physical,fixed,nominal,600,1.0166666666666666,1.0016666666666667,1.0166666666666666,0.9833333333333333,0.016666666666666666,71.93833333333333,71.93833333333333,104.025,420.0,567.0
gm,30,physical,adaptive,degraded,600,1.2166666666666666,1.14,1.14,0.8683333333333333,0.13166666666666665,98.805,89.46666666666667,98.805,567.0,567.0
gm,30,physical,adaptive,nominal,600,1.0,1.0,1.0,1.0,0.0,244.695,168.115,244.695,567.0,567.0
gm,30,physical,fixed,degraded,600,1.2166666666666666,1.14,1.2166666666666666,0.805,0.19,89.46666666666667,89.46666666666667,98.805,420.0,567.0
gm,30,physical,fixed,nominal,600,1.0,1.0,1.0,1.0,0.0,168.115,168.115,244.695,420.0,567.0
mission,10,physical,adaptive,degraded,600,3.5733333333333333,3.1083333333333334,3.1083333333333334,0.12833333333333333,0.8816666666666667,8.525,7.61,8.525,541.03,541.03
mission,10,physical,adaptive,nominal,600,1.3133333333333332,1.22,1.22,0.82,0.16833333333333333,21.116666666666667,14.206666666666667,21.116666666666667,541.03,541.03
mission,10,physical,fixed,degraded,600,3.5733333333333333,3.1083333333333334,3.5733333333333333,0.051666666666666666,0.95,7.61,7.61,8.525,420.0,541.03
mission,10,physical,fixed,nominal,600,1.3133333333333332,1.22,1.3133333333333332,0.7383333333333333,0.25,14.206666666666667,14.206666666666667,21.116666666666667,420.0,541.03
mission,20,physical,adaptive,degraded,600,1.655,1.3883333333333334,1.3883333333333334,0.6866666666666666,0.305,43.33,39.35333333333333,43.33,567.0,567.0
mission,20,physical,adaptive,nominal,600,1.0066666666666666,1.0016666666666667,1.0016666666666667,0.9983333333333333,0.0016666666666666668,104.88,75.19166666666666,104.88,567.0,567.0
mission,20,physical,fixed,degraded,600,1.655,1.3883333333333334,1.655,0.5316666666666666,0.465,39.35333333333333,39.35333333333333,43.33,420.0,567.0
mission,20,physical,fixed,nominal,600,1.0066666666666666,1.0016666666666667,1.0066666666666666,0.9933333333333333,0.0033333333333333335,75.19166666666666,75.19166666666666,104.88,420.0,567.0
mission,30,physical,adaptive,degraded,600,1.1616666666666666,1.095,1.095,0.9133333333333333,0.075,94.745,85.51833333333333,94.745,567.0,567.0
