seed,Model,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy
17,Union-Find detection oracle,0.648921832884097,0.6577868852459017,0.6533242876526459,0.9091701534170153,0.8580555555555556
17,Shallow ML (MLP),0.2959005669428696,0.9269125683060109,0.44859504132231404,0.43706415620641564,0.5366666666666666
17,Kinetic-TopoGuard,0.3480861244019139,0.9938524590163934,0.5155917788802268,0.5249302649930265,0.6202777777777778
17,GCN,0.31493728620296463,0.9433060109289617,0.47221747307232004,0.47629009762900976,0.57125
17,GAT,0.3356294536817102,0.9651639344262295,0.4980613323933733,0.5123779637377964,0.6044444444444445
17,GraphSAGE,0.28352941176470586,0.9877049180327869,0.44058500914076776,0.36297071129707115,0.49
17,PI+MLP,0.203559510567297,1.0,0.33826247689463956,0.001394700139470014,0.20444444444444446
17,FANET-TopoGNN,0.24724622945263514,0.9965846994535519,0.39619823489477257,0.22559274755927475,0.3823611111111111
17,FANET-TopoGNN (concat),0.3132006405856783,0.9351092896174863,0.46923736075407024,0.4766387726638773,0.5698611111111112
17,tgcn:5,0.2954112920279129,0.9886765746638358,0.4549006838163464,0.4095339358497253,0.5255102040816326
17,stgcn:5,0.3385272681578286,0.9532908704883227,0.49962908011869434,0.5335814283182704,0.6176303854875284
17,tgn:5,0.3817282513820192,0.9285208775654635,0.5410309278350516,0.6234272550062023,0.6845238095238095
