Model,MAE_mean,R2_mean,Lead_median_ms_mean
Kinetic-TopoGuard,0.38584235097751707,0.44026632575190106,400.0
Union-Find detection oracle,0.4,0.19430445690877218,0.0
Shallow ML,0.49920054012345677,0.2883261311399282,400.0
