Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,seed
Kinetic-TopoGuard,0.38584235097751707,0.5461279565991788,0.44026632575190106,0.37371326775814706,0.4046295047581934,0.36877824513711416,0.5322162191005925,4.824392430560288,0.428842504743833,1.0,0.600265604249668,0.39068825910931176,0.5819444444444445,7
Union-Find detection oracle,0.4,0.7861111111111111,0.19430445690877218,0.37463541666666667,0.4263888888888889,0.08365509101501833,0.2963016237567505,0.1996568749948185,0.7358078602620087,0.745575221238938,0.7406593406593407,0.8775303643724697,0.8361111111111111,7
Shallow ML,0.49920054012345677,0.6943748672753772,0.2883261311399282,0.474636568287037,0.5291962422839507,0.20705966358583644,0.41019836045734376,0.05339659722570408,0.4197761194029851,0.995575221238938,0.5905511811023622,0.37044534412955465,0.5666666666666667,7
