Model,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high
Union-Find detection oracle,0.7358078602620087,0.7358078602620087,0.7358078602620087,0.745575221238938,0.745575221238938,0.745575221238938,0.7406593406593407,0.7406593406593407,0.7406593406593407,0.8775303643724697,0.8775303643724697,0.8775303643724697,0.8361111111111111,0.8361111111111111,0.8361111111111111
Kinetic-TopoGuard,0.428842504743833,0.428842504743833,0.428842504743833,1.0,1.0,1.0,0.600265604249668,0.600265604249668,0.600265604249668,0.39068825910931176,0.39068825910931176,0.39068825910931176,0.5819444444444445,0.5819444444444445,0.5819444444444445
Shallow ML,0.4197761194029851,0.4197761194029851,0.4197761194029851,0.995575221238938,0.995575221238938,0.995575221238938,0.5905511811023622,0.5905511811023622,0.5905511811023622,0.37044534412955465,0.37044534412955465,0.37044534412955465,0.5666666666666667,0.5666666666666667,0.5666666666666667
