Model,MAE_mean,MAE_ci95_low,MAE_ci95_high,MSE_mean,MSE_ci95_low,MSE_ci95_high,R2_mean,R2_ci95_low,R2_ci95_high,Inference_ms_mean,Inference_ms_ci95_low,Inference_ms_ci95_high,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high
Kinetic-TopoGuard,0.38584235097751707,0.38584235097751707,0.38584235097751707,0.5461279565991788,0.5461279565991788,0.5461279565991788,0.44026632575190106,0.44026632575190106,0.44026632575190106,4.824392430560288,4.824392430560288,4.824392430560288,0.428842504743833,0.428842504743833,0.428842504743833,1.0,1.0,1.0,0.600265604249668,0.600265604249668,0.600265604249668,0.39068825910931176,0.39068825910931176,0.39068825910931176,0.5819444444444445,0.5819444444444445,0.5819444444444445
Union-Find detection oracle,0.4,0.4,0.4,0.7861111111111111,0.7861111111111111,0.7861111111111111,0.19430445690877218,0.19430445690877218,0.19430445690877218,0.1996568749948185,0.1996568749948185,0.1996568749948185,0.7358078602620087,0.7358078602620087,0.7358078602620087,0.745575221238938,0.745575221238938,0.745575221238938,0.7406593406593407,0.7406593406593407,0.7406593406593407,0.8775303643724697,0.8775303643724697,0.8775303643724697,0.8361111111111111,0.8361111111111111,0.8361111111111111
Shallow ML,0.49920054012345677,0.49920054012345677,0.49920054012345677,0.6943748672753772,0.6943748672753772,0.6943748672753772,0.2883261311399282,0.2883261311399282,0.2883261311399282,0.05339659722570408,0.05339659722570408,0.05339659722570408,0.4197761194029851,0.4197761194029851,0.4197761194029851,0.995575221238938,0.995575221238938,0.995575221238938,0.5905511811023622,0.5905511811023622,0.5905511811023622,0.37044534412955465,0.37044534412955465,0.37044534412955465,0.5666666666666667,0.5666666666666667,0.5666666666666667
