Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,Alert_Events,True_Alert_Events,False_Alert_Events,Ground_Truth_Fragmentation_Events,Missed_Fragmentation_Events,Alert_Event_Precision,Alert_Event_Recall,Alert_Event_F1,False_Alert_Events_per_minute,seed,Model_Backend
Current-state persistence baseline,0.11486111111111111,0.1584722222222222,0.1402175306581125,0.05497916666666667,0.18801736111111114,-0.4190533414011797,0.3317917819066202,0.22130990278027532,0.5642965204236006,0.5883280757097792,0.576061776061776,0.9561376789521779,0.92375,0.45881752631218037,0.7722328773309785,0.07625,0.07625,288.0,24.0,0.0,0.0,0.0,203.0,203.0,0.0,0.0,0.0,0.0,17,deterministic_persistence_baseline
Kinetic-TopoGuard,0.11486111111111111,0.1584722222222222,0.1402175306581126,0.05497916666666667,0.18801736111111114,-0.4190533414011797,0.3317917819066202,5.545080305568665,0.4429065743944637,0.807570977917981,0.5720670391061452,0.9019189765458422,0.8936111111111111,0.6415865692016987,0.9430889074872851,0.1457822930261134,0.3094524801432409,644.0,53.666666666666664,109.0,73.0,36.0,203.0,130.0,0.6697247706422018,0.35960591133004927,0.467948717948718,2.999999999999999,17,scikit_learn
Shallow ML (GBR),0.17216415664640103,0.15313150745004678,0.16919328975633874,0.10013727749423193,0.25306517773374493,-0.4425190960163442,0.3872627923228336,0.03042313887918781,0.1083205193917649,1.0,0.1954678587945121,0.20514773073408468,0.2751388888888889,0.15618479701200044,0.6025738653670423,0.7248611111111111,0.7248611111111111,5219.0,434.9166666666667,261.0,92.0,169.0,203.0,111.0,0.3524904214559387,0.45320197044334976,0.396551724137931,14.083333333333329,17,scikit_learn
stgcn:5,0.18603959753940436,0.14615125385011507,0.1811016455720562,0.12345207190255122,0.2612726833688226,-0.6088456048203902,0.4203195304837438,0.3293749996373663,0.1619574715991844,0.9114754098360656,0.27504328468958694,0.5536766987278933,0.5846088435374149,0.1332183529632962,0.7325760542819795,0.415391156462585,0.415391156462585,2877.0,244.64285714285714,267.0,98.0,169.0,200.0,102.0,0.36704119850187267,0.49,0.4197002141327623,14.370748299319729,17,pytorch
tgcn:5,0.20429694106857252,0.203266837815386,-0.13892200451115233,0.12079045475099463,0.29652258427116746,-1.3020469352674078,0.28546977491384234,0.21086796823510667,0.1776485788113695,0.9016393442622951,0.2968159740960605,0.6050263729444617,0.6306689342403629,0.15319230425187108,0.7533328586033783,0.3693310657596372,0.3693310657596372,2546.0,216.49659863945578,193.0,85.0,108.0,200.0,115.0,0.44041450777202074,0.425,0.43256997455470736,9.183673469387756,17,pytorch
GraphSAGE,0.2159269335369269,0.13613958291270634,0.2613820571801917,0.16047992718840637,0.2752735430126389,-0.5274448044331683,0.4646219042223747,0.055473436987085734,0.1387482742751956,0.9511041009463722,0.2421686746987952,0.42994212610417304,0.47583333333333333,0.17894105804989693,0.6905231135252725,0.5241666666666667,0.5241666666666667,3743.0,311.9166666666667,317.0,93.0,224.0,203.0,110.0,0.29337539432176657,0.458128078817734,0.35769230769230775,18.66666666666666,17,pytorch
tgn:5,0.2204887907859149,0.21874823362723342,-0.22566562949278324,0.1319137471354231,0.33084361568819776,-1.6405802448587499,0.3002272479744391,0.5638710936182179,0.19765309864319766,0.8836065573770492,0.3230446508840276,0.6605646912814148,0.6798469387755102,0.16245180406992227,0.772085624329232,0.3201530612244898,0.3201530612244898,2188.0,186.0544217687075,175.0,85.0,90.0,200.0,115.0,0.4857142857142857,0.425,0.45333333333333337,7.653061224489796,17,pytorch
GCN,0.243799104558097,0.19303737618244454,-0.04731384240125447,0.1655468696778019,0.3291957766215007,-1.1835563704547312,0.32855064978799015,0.11047890620830003,0.16973293768545994,0.9022082018927445,0.2857142857142857,0.5738653670423394,0.6027777777777777,0.20503882777063784,0.7380367844675418,0.3972222222222222,0.39722222222222225,2798.0,233.16666666666666,290.0,88.0,202.0,203.0,115.0,0.30344827586206896,0.43349753694581283,0.35699797160243407,16.83333333333333,17,pytorch
GAT,0.2648930226266384,0.2400375766730689,-0.30231088775552983,0.1792357587984039,0.3764053511226343,-1.79248383631086,0.28790272704922926,0.28467421816458227,0.1369990680335508,0.9274447949526814,0.2387332521315469,0.43588181541273224,0.4791666666666667,0.17622081191922984,0.6816633051827068,0.5208333333333334,0.5208333333333334,3704.0,308.6666666666667,361.0,96.0,265.0,203.0,107.0,0.2659279778393352,0.4729064039408867,0.3404255319148936,22.083333333333325,17,pytorch
PI+MLP,0.2705220599141386,0.18943531263527746,-0.027771041474497382,0.18342997652706175,0.3668485872041848,-1.1061578407159467,0.30182964150115604,0.035174218282918446,0.08805555555555555,1.0,0.16185856522849118,0.0,0.08805555555555555,0.13196012804041027,0.5,0.9119444444444444,0.9119444444444444,6566.0,547.1666666666666,169.0,92.0,77.0,203.0,111.0,0.5443786982248521,0.45320197044334976,0.4946236559139785,6.416666666666665,17,pytorch
FANET-TopoGNN,0.32118240430951117,0.22412898532416212,-0.21599968594418795,0.24058102921603455,0.406527899498327,-1.8995861804769216,0.309162475983698,0.12056093783030519,0.11289459604066346,0.998422712933754,0.20285210703412912,0.24246116356990557,0.3090277777777778,0.15413180061960202,0.6204419382518298,0.6909722222222222,0.6909722222222223,4974.0,414.5,205.0,95.0,110.0,203.0,108.0,0.4634146341463415,0.46798029556650245,0.465686274509804,9.166666666666664,17,pytorch
FANET-TopoGNN (concat),0.32309355915420584,0.2168318854993246,-0.1764096655705525,0.24055522358127765,0.40547702393018537,-1.8873145831541638,0.31792778004451205,0.05499843700818019,0.11255103852298953,1.0,0.2023296633157811,0.23865367042339325,0.30569444444444444,0.1536835739976139,0.6193268352116966,0.6943055555555555,0.6943055555555555,4999.0,416.5833333333333,190.0,93.0,97.0,203.0,110.0,0.48947368421052634,0.458128078817734,0.47328244274809167,8.08333333333333,17,pytorch
