Model,Lead_5th_ms,Lead_median_ms,Lead_IQR_ms,Lead_95th_ms,Lead_mean_ms,Lead_norm_mean,seed
Shallow ML (GBR),110.00000000000014,600.0000000000001,100.00000000000011,600.0000000000001,518.7192118226601,0.5865830013226987,17
GCN,0.0,600.0000000000001,400.0000000000001,600.0000000000001,422.6600985221675,0.4726884082222507,17
GraphSAGE,100.0,600.0000000000001,200.0000000000001,600.0000000000001,478.32512315270935,0.5300998832233634,17
GAT,0.0,600.0000000000001,250.0000000000001,600.0000000000001,455.17241379310343,0.5061972746326625,17
FANET-TopoGNN (concat),110.00000000000014,600.0000000000001,100.00000000000011,600.0000000000001,518.7192118226601,0.5865830013226987,17
stgcn:5,0.0,600.0000000000001,400.0000000000001,600.0000000000001,436.0,0.4871823050906321,17
PI+MLP,110.00000000000014,600.0000000000001,100.00000000000011,600.0000000000001,518.7192118226601,0.5865830013226987,17
FANET-TopoGNN,110.00000000000014,600.0000000000001,100.00000000000011,600.0000000000001,518.7192118226601,0.5865830013226987,17
tgcn:5,0.0,500.0,400.0000000000001,600.0000000000001,406.5,0.4581903089451987,17
tgn:5,0.0,500.0,425.0000000000001,600.0000000000001,392.0,0.4485752990979083,17
Kinetic-TopoGuard,0.0,200.0,600.0000000000001,600.0000000000001,272.41379310344826,0.3456167018995929,17
Current-state persistence baseline,0.0,0.0,0.0,0.0,0.0,0.0,17
