Model,Threshold,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high,False_Alarms_mean,False_Alarms_ci95_low,False_Alarms_ci95_high,False_Alarms_per_minute_mean,False_Alarms_per_minute_ci95_low,False_Alarms_per_minute_ci95_high
FANET-TopoGNN,0.1,0.2887502074287756,0.22099310851199008,0.35650730634556116,0.998215571652476,0.9962773327912405,1.0,0.4457475688463332,0.36609763652127986,0.5253975011713865,0.20798082487767158,0.11622032283673918,0.299741326918604,0.39875,0.3089734663292106,0.4885265336707894,4326.0,3677.728703705,4974.271296295,360.5,306.47739197541665,414.52260802458335
FANET-TopoGNN,0.2,0.2887502074287756,0.22099310851199008,0.35650730634556116,0.998215571652476,0.9962773327912405,1.0,0.4457475688463332,0.36609763652127986,0.5253975011713865,0.20798082487767158,0.11622032283673918,0.299741326918604,0.39875,0.3089734663292106,0.4885265336707894,4326.0,3677.728703705,4974.271296295,360.5,306.47739197541665,414.52260802458335
FANET-TopoGNN,0.3,0.2887502074287756,0.22099310851199008,0.35650730634556116,0.998215571652476,0.9962773327912405,1.0,0.4457475688463332,0.36609763652127986,0.5253975011713865,0.20798082487767158,0.11622032283673918,0.299741326918604,0.39875,0.3089734663292106,0.4885265336707894,4326.0,3677.728703705,4974.271296295,360.5,306.47739197541665,414.52260802458335
FANET-TopoGNN,0.4,0.2887502074287756,0.22099310851199008,0.35650730634556116,0.998215571652476,0.9962773327912405,1.0,0.4457475688463332,0.36609763652127986,0.5253975011713865,0.20798082487767158,0.11622032283673918,0.299741326918604,0.39875,0.3089734663292106,0.4885265336707894,4326.0,3677.728703705,4974.271296295,360.5,306.47739197541665,414.52260802458335
FANET-TopoGNN,0.5,0.2887502074287756,0.22099310851199008,0.35650730634556116,0.998215571652476,0.9962773327912405,1.0,0.4457475688463332,0.36609763652127986,0.5253975011713865,0.20798082487767158,0.11622032283673918,0.299741326918604,0.39875,0.3089734663292106,0.4885265336707894,4326.0,3677.728703705,4974.271296295,360.5,306.47739197541665,414.52260802458335
FANET-TopoGNN,0.6,0.2887502074287756,0.22099310851199008,0.35650730634556116,0.998215571652476,0.9962773327912405,1.0,0.4457475688463332,0.36609763652127986,0.5253975011713865,0.20798082487767158,0.11622032283673918,0.299741326918604,0.39875,0.3089734663292106,0.4885265336707894,4326.0,3677.728703705,4974.271296295,360.5,306.47739197541665,414.52260802458335
FANET-TopoGNN,0.7,0.2887502074287756,0.22099310851199008,0.35650730634556116,0.998215571652476,0.9962773327912405,1.0,0.4457475688463332,0.36609763652127986,0.5253975011713865,0.20798082487767158,0.11622032283673918,0.299741326918604,0.39875,0.3089734663292106,0.4885265336707894,4326.0,3677.728703705,4974.271296295,360.5,306.47739197541665,414.52260802458335
FANET-TopoGNN,0.8,0.2887502074287756,0.22099310851199008,0.35650730634556116,0.998215571652476,0.9962773327912405,1.0,0.4457475688463332,0.36609763652127986,0.5253975011713865,0.20798082487767158,0.11622032283673918,0.299741326918604,0.39875,0.3089734663292106,0.4885265336707894,4326.0,3677.728703705,4974.271296295,360.5,306.47739197541665,414.52260802458335
FANET-TopoGNN,0.9,0.2887502074287756,0.22099310851199008,0.35650730634556116,0.998215571652476,0.9962773327912405,1.0,0.4457475688463332,0.36609763652127986,0.5253975011713865,0.20798082487767158,0.11622032283673918,0.299741326918604,0.39875,0.3089734663292106,0.4885265336707894,4326.0,3677.728703705,4974.271296295,360.5,306.47739197541665,414.52260802458335
FANET-TopoGNN (concat),0.1,0.355211963208042,0.2872986471041864,0.4231252793118976,0.9716683214902596,0.9358402031517373,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.43492092642528934,0.3692288807517526,0.5006129720988262,0.565925925925926,0.5119580658504623,0.6198937860013898,3081.0,2683.548276474572,3478.451723525428,256.75,223.62902303954766,289.87097696045237
FANET-TopoGNN (concat),0.2,0.355211963208042,0.2872986471041864,0.4231252793118976,0.9716683214902596,0.9358402031517373,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.43492092642528934,0.3692288807517526,0.5006129720988262,0.565925925925926,0.5119580658504623,0.6198937860013898,3081.0,2683.548276474572,3478.451723525428,256.75,223.62902303954766,289.87097696045237
FANET-TopoGNN (concat),0.3,0.355211963208042,0.2872986471041864,0.4231252793118976,0.9716683214902596,0.9358402031517373,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.43492092642528934,0.3692288807517526,0.5006129720988262,0.565925925925926,0.5119580658504623,0.6198937860013898,3081.0,2683.548276474572,3478.451723525428,256.75,223.62902303954766,289.87097696045237
FANET-TopoGNN (concat),0.4,0.355211963208042,0.2872986471041864,0.4231252793118976,0.9716683214902596,0.9358402031517373,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.43492092642528934,0.3692288807517526,0.5006129720988262,0.565925925925926,0.5119580658504623,0.6198937860013898,3081.0,2683.548276474572,3478.451723525428,256.75,223.62902303954766,289.87097696045237
FANET-TopoGNN (concat),0.5,0.355211963208042,0.2872986471041864,0.4231252793118976,0.9716683214902596,0.9358402031517373,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.43492092642528934,0.3692288807517526,0.5006129720988262,0.565925925925926,0.5119580658504623,0.6198937860013898,3081.0,2683.548276474572,3478.451723525428,256.75,223.62902303954766,289.87097696045237
FANET-TopoGNN (concat),0.6,0.355211963208042,0.2872986471041864,0.4231252793118976,0.9716683214902596,0.9358402031517373,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.43492092642528934,0.3692288807517526,0.5006129720988262,0.565925925925926,0.5119580658504623,0.6198937860013898,3081.0,2683.548276474572,3478.451723525428,256.75,223.62902303954766,289.87097696045237
FANET-TopoGNN (concat),0.7,0.355211963208042,0.2872986471041864,0.4231252793118976,0.9716683214902596,0.9358402031517373,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.43492092642528934,0.3692288807517526,0.5006129720988262,0.565925925925926,0.5119580658504623,0.6198937860013898,3081.0,2683.548276474572,3478.451723525428,256.75,223.62902303954766,289.87097696045237
FANET-TopoGNN (concat),0.8,0.355211963208042,0.2872986471041864,0.4231252793118976,0.9716683214902596,0.9358402031517373,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.43492092642528934,0.3692288807517526,0.5006129720988262,0.565925925925926,0.5119580658504623,0.6198937860013898,3081.0,2683.548276474572,3478.451723525428,256.75,223.62902303954766,289.87097696045237
FANET-TopoGNN (concat),0.9,0.355211963208042,0.2872986471041864,0.4231252793118976,0.9716683214902596,0.9358402031517373,1.0,0.5187266754777413,0.444062613311318,0.5933907376441646,0.43492092642528934,0.3692288807517526,0.5006129720988262,0.565925925925926,0.5119580658504623,0.6198937860013898,3081.0,2683.548276474572,3478.451723525428,256.75,223.62902303954766,289.87097696045237
GAT,0.1,0.30893293916736025,0.2480893833096221,0.3697764950250984,0.9862884949379421,0.9652819361439541,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.0033325216594728424,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099,3974.6666666666665,2603.3461460329554,5345.987187300378,331.22222222222223,216.94551216941304,445.4989322750314
GAT,0.2,0.30893293916736025,0.2480893833096221,0.3697764950250984,0.9862884949379421,0.9652819361439541,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.0033325216594728424,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099,3974.6666666666665,2603.3461460329554,5345.987187300378,331.22222222222223,216.94551216941304,445.4989322750314
GAT,0.3,0.30893293916736025,0.2480893833096221,0.3697764950250984,0.9862884949379421,0.9652819361439541,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.0033325216594728424,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099,3974.6666666666665,2603.3461460329554,5345.987187300378,331.22222222222223,216.94551216941304,445.4989322750314
GAT,0.4,0.30893293916736025,0.2480893833096221,0.3697764950250984,0.9862884949379421,0.9652819361439541,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.0033325216594728424,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099,3974.6666666666665,2603.3461460329554,5345.987187300378,331.22222222222223,216.94551216941304,445.4989322750314
GAT,0.5,0.30893293916736025,0.2480893833096221,0.3697764950250984,0.9862884949379421,0.9652819361439541,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.0033325216594728424,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099,3974.6666666666665,2603.3461460329554,5345.987187300378,331.22222222222223,216.94551216941304,445.4989322750314
GAT,0.6,0.30893293916736025,0.2480893833096221,0.3697764950250984,0.9862884949379421,0.9652819361439541,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.0033325216594728424,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099,3974.6666666666665,2603.3461460329554,5345.987187300378,331.22222222222223,216.94551216941304,445.4989322750314
GAT,0.7,0.30893293916736025,0.2480893833096221,0.3697764950250984,0.9862884949379421,0.9652819361439541,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.0033325216594728424,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099,3974.6666666666665,2603.3461460329554,5345.987187300378,331.22222222222223,216.94551216941304,445.4989322750314
GAT,0.8,0.30893293916736025,0.2480893833096221,0.3697764950250984,0.9862884949379421,0.9652819361439541,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.0033325216594728424,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099,3974.6666666666665,2603.3461460329554,5345.987187300378,331.22222222222223,216.94551216941304,445.4989322750314
GAT,0.9,0.30893293916736025,0.2480893833096221,0.3697764950250984,0.9862884949379421,0.9652819361439541,1.0,0.468494088537718,0.3972604403464388,0.5397277367289972,0.2668260278751793,0.0033325216594728424,0.5303195340908857,0.445,0.25848426703901006,0.63151573296099,3974.6666666666665,2603.3461460329554,5345.987187300378,331.22222222222223,216.94551216941304,445.4989322750314
GCN,0.1,0.33995760021975974,0.26695405313618387,0.4129611473033356,0.9752171114697882,0.9434878523900858,1.0,0.5019726344885221,0.42220371132888035,0.5817415576481639,0.3863425038955852,0.24667073591769934,0.526014271873471,0.5299537037037038,0.42531015326956434,0.6345972541378432,3345.0,2563.281001552775,4126.718998447225,278.75,213.60675012939788,343.8932498706021
GCN,0.2,0.33995760021975974,0.26695405313618387,0.4129611473033356,0.9752171114697882,0.9434878523900858,1.0,0.5019726344885221,0.42220371132888035,0.5817415576481639,0.3863425038955852,0.24667073591769934,0.526014271873471,0.5299537037037038,0.42531015326956434,0.6345972541378432,3345.0,2563.281001552775,4126.718998447225,278.75,213.60675012939788,343.8932498706021
GCN,0.3,0.33995760021975974,0.26695405313618387,0.4129611473033356,0.9752171114697882,0.9434878523900858,1.0,0.5019726344885221,0.42220371132888035,0.5817415576481639,0.3863425038955852,0.24667073591769934,0.526014271873471,0.5299537037037038,0.42531015326956434,0.6345972541378432,3345.0,2563.281001552775,4126.718998447225,278.75,213.60675012939788,343.8932498706021
GCN,0.4,0.33995760021975974,0.26695405313618387,0.4129611473033356,0.9752171114697882,0.9434878523900858,1.0,0.5019726344885221,0.42220371132888035,0.5817415576481639,0.3863425038955852,0.24667073591769934,0.526014271873471,0.5299537037037038,0.42531015326956434,0.6345972541378432,3345.0,2563.281001552775,4126.718998447225,278.75,213.60675012939788,343.8932498706021
GCN,0.5,0.33995760021975974,0.26695405313618387,0.4129611473033356,0.9752171114697882,0.9434878523900858,1.0,0.5019726344885221,0.42220371132888035,0.5817415576481639,0.3863425038955852,0.24667073591769934,0.526014271873471,0.5299537037037038,0.42531015326956434,0.6345972541378432,3345.0,2563.281001552775,4126.718998447225,278.75,213.60675012939788,343.8932498706021
