Model,Lead_5th_ms,Lead_median_ms,Lead_IQR_ms,Lead_95th_ms,Lead_mean_ms,Lead_norm_mean,seed
Shallow ML (GBR),0.0,600.0000000000001,200.0000000000001,600.0000000000001,460.28735632183907,4.5572649658086855,27
FANET-TopoGNN,0.0,600.0000000000001,600.0000000000001,600.0000000000001,352.2557471264368,3.4760360095797287,27
PI+MLP,0.0,600.0000000000001,600.0000000000001,600.0000000000001,365.6034482758621,3.6094956055393244,27
GAT,0.0,600.0000000000001,600.0000000000001,600.0000000000001,381.2931034482759,3.772814861315477,27
tgcn:5,0.0,600.0000000000001,600.0000000000001,600.0000000000001,406.7615136403637,4.02064627006892,27
GraphSAGE,0.0,500.0,600.0000000000001,600.0000000000001,334.66954022988506,3.3009823116812034,27
tgn:5,0.0,400.0,600.0000000000001,600.0000000000001,304.8841302434732,3.011325884068249,27
stgcn:5,0.0,400.0,600.0000000000001,600.0000000000001,299.5893223819302,2.958690803490155,27
GCN,0.0,200.0,600.0000000000001,600.0000000000001,284.7413793103448,2.814502571753187,27
FANET-TopoGNN (concat),0.0,100.0,600.0000000000001,600.0000000000001,275.2155172413793,2.7077344595971446,27
Kinetic-TopoGuard,0.0,0.0,600.0000000000001,600.0000000000001,263.9080459770115,2.5953824916417285,27
Union-Find detection oracle,0.0,0.0,0.0,0.0,0.0,0.0,27
