Threshold,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,False_Alarms,False_Alarms_per_minute,seed,Model,Model_Backend
0.1,0.25194444444444447,1.0,0.4024850232970934,0.0,0.25194444444444447,5386.0,448.8333333333333,37,Kinetic-TopoGuard,scikit_learn
0.2,0.43130227001194743,0.9950385887541345,0.6017669611601933,0.558113627924248,0.6681944444444444,2380.0,198.33333333333334,37,Kinetic-TopoGuard,scikit_learn
0.3,0.6314793794930004,0.9200661521499449,0.7489342607134845,0.8191607872261418,0.8445833333333334,974.0,81.16666666666667,37,Kinetic-TopoGuard,scikit_learn
0.4,0.8001080497028633,0.8164277839029769,0.8081855388813096,0.9313033791310806,0.9023611111111111,370.0,30.833333333333332,37,Kinetic-TopoGuard,scikit_learn
0.5,0.8461538461538461,0.7398015435501654,0.7894117647058824,0.9546973635350909,0.9005555555555556,244.0,20.333333333333332,37,Kinetic-TopoGuard,scikit_learn
0.6,0.8859840232389252,0.6725468577728776,0.7646505797555625,0.9708503527664315,0.8956944444444445,157.0,13.083333333333334,37,Kinetic-TopoGuard,scikit_learn
0.7,0.927158273381295,0.5683572216097024,0.7047163362952839,0.9849610100259933,0.88,81.0,6.75,37,Kinetic-TopoGuard,scikit_learn
0.8,0.9718934911242604,0.36218302094818083,0.5277108433734939,0.9964723356851095,0.8366666666666667,19.0,1.5833333333333333,37,Kinetic-TopoGuard,scikit_learn
0.9,1.0,0.0926130099228225,0.16952573158425835,1.0,0.7713888888888889,0.0,0.0,37,Kinetic-TopoGuard,scikit_learn
0.1,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,4319.0,359.9166666666667,37,GCN,pytorch
0.2,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,4319.0,359.9166666666667,37,GCN,pytorch
0.3,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,4319.0,359.9166666666667,37,GCN,pytorch
0.4,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,4319.0,359.9166666666667,37,GCN,pytorch
0.5,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,4319.0,359.9166666666667,37,GCN,pytorch
0.6,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,4319.0,359.9166666666667,37,GCN,pytorch
0.7,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,4319.0,359.9166666666667,37,GCN,pytorch
0.8,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,4319.0,359.9166666666667,37,GCN,pytorch
0.9,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,4319.0,359.9166666666667,37,GCN,pytorch
0.1,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,4896.0,408.0,37,GAT,pytorch
0.2,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,4896.0,408.0,37,GAT,pytorch
0.3,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,4896.0,408.0,37,GAT,pytorch
0.4,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,4896.0,408.0,37,GAT,pytorch
0.5,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,4896.0,408.0,37,GAT,pytorch
0.6,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,4896.0,408.0,37,GAT,pytorch
0.7,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,4896.0,408.0,37,GAT,pytorch
0.8,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,4896.0,408.0,37,GAT,pytorch
0.9,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,4896.0,408.0,37,GAT,pytorch
