Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,seed,Model_Backend
Kinetic-TopoGuard,0.28838301646474884,0.3837132922723862,0.6453905150715159,0.2757034835783944,0.30044938040052505,0.6210697347125603,0.6664188267315497,5.325274638889823,0.4210771741664724,0.9955898566703418,0.5918400786498443,0.538989974006684,0.6540277777777778,0.8922100393214342,0.9545853904381116,0.09037784770938977,0.1339448655777542,2483.0,206.91666666666666,37,scikit_learn
FANET-TopoGNN,0.3541993144734038,0.42121864155910077,0.6107298638497083,0.3411313071087417,0.3665752014461905,0.5923291832415427,0.6265201254917468,0.0766390626267821,0.2972573493184431,0.9977949283351709,0.4580539035809187,0.20553286297809134,0.4051388888888889,0.2840623861198841,0.6016638956566311,0.5948611111111111,0.594861111111111,4279.0,356.5833333333333,37,pytorch
FANET-TopoGNN (concat),0.35834770983291997,0.45456763659851834,0.5799103165679955,0.34448143198113473,0.3718465831718511,0.5593037144838435,0.5997490627083965,0.07488906248909188,0.3778996204133277,0.9878721058434399,0.5466748017083587,0.45228369847753436,0.5872222222222222,0.3817706948000414,0.7200779021604871,0.4127777777777778,0.4127777777777778,2950.0,245.83333333333334,37,pytorch
tgcn:5,0.36323139237033,0.518342072196966,0.5236905197613341,0.34684259200831896,0.376425555202468,0.5061180377076826,0.5459003222810859,0.13811874987368356,0.36258278145695366,0.9937606352807714,0.53131159969674,0.4180993765350463,0.5619331065759637,0.666091700604788,0.7059300059079088,0.43806689342403626,0.4380668934240362,3080.0,261.9047619047619,37,pytorch
stgcn:5,0.38345571075166973,0.5581726389527236,0.4870898315929284,0.36586780843859257,0.39653290644152905,0.4710329560583075,0.5091893758150411,0.150374999975611,0.35531655844155846,0.9931934203062961,0.5233896278583171,0.3997732854713773,0.5480442176870748,0.6655409461183476,0.6964833528888367,0.45195578231292516,0.4519557823129251,3177.0,270.1530612244898,37,pytorch
tgn:5,0.39183018241677425,0.5328816980297191,0.5103299187321517,0.3754922774297242,0.4046981833638653,0.4931892375045724,0.5315369034770596,0.1468718751311826,0.24985827664399093,1.0,0.39981857353441436,0.0,0.24985827664399093,0.6059244730061162,0.5,0.750141723356009,0.750141723356009,5293.0,450.0850340136054,37,pytorch
GAT,0.4198158055378331,0.5653962389763427,0.477487819364939,0.408291467335903,0.4328641057531867,0.4619672844678121,0.49048772618894193,0.08673125012137461,0.2697986577181208,0.9972436604189636,0.42469773447587744,0.09097660601559598,0.31930555555555556,0.2491983215584819,0.5441101332172797,0.6806944444444445,0.6806944444444444,4896.0,408.0,37,pytorch
GraphSAGE,0.4227190615485112,0.5369542878645357,0.5037725111836406,0.41083084399894704,0.4335153352688584,0.48970373847418724,0.518423823240285,0.058871874898613896,0.30657181571815717,0.9977949283351709,0.4690334283493132,0.23988117341255105,0.43083333333333335,0.2907693490859277,0.618838050873861,0.5691666666666667,0.5691666666666666,4094.0,341.1666666666667,37,pytorch
GCN,0.4268199328498708,0.5784125385797563,0.4654587773927241,0.4145085810824401,0.4392503453290297,0.4476532945663921,0.4801754343758789,0.051236718718428165,0.293241695303551,0.9878721058434399,0.4522397476340694,0.1981062012625325,0.39708333333333334,0.28095954064351447,0.5929891535529862,0.6029166666666667,0.6029166666666667,4319.0,359.9166666666667,37,pytorch
PI+MLP,0.4552465298275153,0.6984309428071646,0.3545435045519594,0.43937886202749277,0.47190975068675145,0.34088485582629285,0.36778913588261597,0.02964687473649974,0.2646370023419204,0.9966923925027563,0.4182280823502198,0.06721128852580766,0.3013888888888889,0.2438974141931703,0.531951840514282,0.6986111111111111,0.6986111111111111,5024.0,418.6666666666667,37,pytorch
