Connectivity ratio,PDR (%),Avg. end-to-end delay (ms),Proactive reroute (%),DTN buffered (%),Relay actions,Model,seed
0.8808333333333334,99.41868781094527,21.424912543532756,19.519029850746268,1.0851057213930348,6427.0,Kinetic-TopoGuard,7
0.8808333333333334,99.41868781094527,21.37150506442144,25.567350746268655,1.0851057213930348,7587.0,GCN,7
0.8808333333333334,99.41868781094527,21.356892758119727,32.815547263681594,1.0851057213930348,8672.0,GAT,7
0.8808333333333334,99.41868781094527,21.391084053601393,23.2896144278607,1.0851057213930348,7363.0,GraphSAGE,7
0.8808333333333334,99.41868781094527,21.36106502194817,30.995460199004974,1.0851057213930348,8286.0,FANET-TopoGNN,7
0.8808333333333334,99.41868781094527,21.387543571851918,22.35771144278607,1.0851057213930348,6902.0,FANET-TopoGNN (concat),7
0.8856944444444445,99.54623756218905,21.14641312397955,16.48973880597015,0.848973880597015,5664.0,Kinetic-TopoGuard,17
0.8851388888888889,99.54337686567165,21.095760648358564,21.536940298507464,0.848973880597015,5865.0,GCN,17
0.8855555555555555,99.54567786069651,21.114589635936152,19.396206467661692,0.848973880597015,5693.0,GAT,17
0.8856944444444445,99.54623756218905,21.109079539090157,21.35547263681592,0.848973880597015,6584.0,GraphSAGE,17
0.8852777777777778,99.54144900497512,21.053948250888013,26.843097014925373,0.848973880597015,7382.0,FANET-TopoGNN,17
0.8841666666666667,99.53236940298507,21.08824037531229,20.647325870646767,0.8482276119402985,5842.0,FANET-TopoGNN (concat),17
0.8173611111111111,99.19723258706468,21.942013984777677,18.188059701492538,1.5026430348258706,6756.0,Kinetic-TopoGuard,27
0.8173611111111111,99.19723258706468,21.86968584560823,21.945771144278606,1.5026430348258706,7040.0,GCN,27
0.8173611111111111,99.19723258706468,21.854200840516047,27.941231343283583,1.5026430348258706,8073.0,GAT,27
0.8173611111111111,99.19723258706468,21.875165155102387,22.435012437810947,1.5026430348258706,7441.0,GraphSAGE,27
0.8169444444444445,99.19368781094528,21.85421694640461,25.75342039800995,1.5026430348258706,7874.0,FANET-TopoGNN,27
0.8154166666666667,99.17148631840796,21.89940599274775,18.84950248756219,1.5002798507462687,6916.0,FANET-TopoGNN (concat),27
