seed,Model,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy
7,Union-Find detection oracle,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.909256559766764,0.8658333333333333
7,Shallow ML,0.2767624020887728,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.3822222222222222
7,Kinetic-TopoGuard,0.3652081109925293,0.9994158878504672,0.5349382523057684,0.4580903790087463,0.5868055555555556
7,GCN,0.2917023096663815,0.9959112149532712,0.4512372634643377,0.2456268221574344,0.4240277777777778
7,GAT,0.247041847041847,1.0,0.3962045822726221,0.0491982507288629,0.2752777777777778
7,GraphSAGE,0.3042163316135919,0.9988317757009346,0.4663848356743488,0.2873542274052478,0.4565277777777777
7,PI+MLP,0.2546462829736211,0.9924065420560748,0.4052958015267176,0.0938411078717201,0.3075
7,FANET-TopoGNN,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889
7,FANET-TopoGNN (concat),0.3284883720930232,0.990070093457944,0.4933061699650756,0.3686224489795918,0.5163888888888889
7,T-GCN (w=5),0.243076923076923,1.0,0.391089108910891,0.0428015564202334,0.2678571428571428
7,STGCN (w=5),0.2974386724386724,0.9939722724532852,0.4578647785644871,0.2783027607930332,0.4465702947845805
7,TGN (w=5),0.2351190476190476,1.0,0.380722891566265,0.0,0.2351190476190476
17,Union-Find detection oracle,0.648921832884097,0.6577868852459017,0.6533242876526459,0.9091701534170152,0.8580555555555556
17,Shallow ML,0.2959005669428696,0.9269125683060108,0.448595041322314,0.4370641562064156,0.5366666666666666
17,Kinetic-TopoGuard,0.3480861244019139,0.9938524590163934,0.5155917788802268,0.5249302649930265,0.6202777777777778
17,GCN,0.3149372862029646,0.9433060109289616,0.47221747307232,0.4762900976290097,0.57125
17,GAT,0.3356294536817102,0.9651639344262296,0.4980613323933733,0.5123779637377964,0.6044444444444445
17,GraphSAGE,0.2835294117647058,0.9877049180327868,0.4405850091407677,0.3629707112970711,0.49
17,PI+MLP,0.203559510567297,1.0,0.3382624768946395,0.00139470013947,0.2044444444444444
17,FANET-TopoGNN,0.2472462294526351,0.996584699453552,0.3961982348947725,0.2255927475592747,0.3823611111111111
17,FANET-TopoGNN (concat),0.3132006405856783,0.9351092896174864,0.4692373607540702,0.4766387726638773,0.5698611111111112
17,T-GCN (w=5),0.2954112920279129,0.9886765746638358,0.4549006838163464,0.4095339358497253,0.5255102040816326
17,STGCN (w=5),0.3385272681578286,0.9532908704883228,0.4996290801186943,0.5335814283182704,0.6176303854875284
17,TGN (w=5),0.3817282513820192,0.9285208775654636,0.5410309278350516,0.6234272550062023,0.6845238095238095
27,Union-Find detection oracle,0.8102224325603408,0.8294573643410853,0.8197270768494135,0.9219236760124612,0.8954166666666666
27,Shallow ML,0.2891600056093114,0.999031007751938,0.4485046220772158,0.0130451713395638,0.2956944444444444
27,Kinetic-TopoGuard,0.4432479000646134,0.997093023255814,0.6136871924854629,0.496690031152648,0.6401388888888889
27,GCN,0.413233204789933,0.9864341085271318,0.5824631669289086,0.4371105919003115,0.5945833333333334
27,GAT,0.3441275167785235,0.9937015503875968,0.5112163509471586,0.2389018691588785,0.4552777777777778
27,GraphSAGE,0.3836336336336336,0.9903100775193798,0.553030303030303,0.3605919003115265,0.5411111111111111
27,PI+MLP,0.3387366310160428,0.9820736434108528,0.503727634194831,0.2295560747663551,0.4452777777777778
27,FANET-TopoGNN,0.3573907009021513,0.998062015503876,0.5263157894736843,0.278816199376947,0.485
27,FANET-TopoGNN (concat),0.4239468769454244,0.9898255813953488,0.5936364957140782,0.4595015576323987,0.6115277777777778
27,T-GCN (w=5),0.3235958683021304,0.9985059760956176,0.4887859580692344,0.169770206022187,0.4056122448979591
27,STGCN (w=5),0.3961103393530462,0.99402390438247,0.5664821910032638,0.3971870047543581,0.5670351473922902
27,TGN (w=5),0.3904966757919437,0.9945219123505976,0.5607975287840494,0.3825277337559429,0.5566893424036281
