Model,MAE_mean,R2_mean,Lead_median_ms_mean
Union-Find detection oracle,0.30449074074074073,0.37759929602106185,0.0
Kinetic-TopoGuard,0.30901742911244,0.49793166847883236,233.33333333333334
Shallow ML,0.3497971121573927,0.5593507166448851,566.6666666666666
GraphSAGE,0.4059769665367073,0.4641399521535639,533.3333333333334
GAT,0.43442989914505564,0.37238420358225505,533.3333333333334
FANET-TopoGNN (concat),0.4447695642847705,0.4269253235245684,333.3333333333333
PI+MLP,0.4497987799456826,0.32691578084160705,600.0000000000001
GCN,0.45328485103393046,0.35659966840246154,400.0
FANET-TopoGNN,0.4624877419874624,0.4047118413326831,600.0000000000001
