Model,MAE,MSE,R2,MAE_CI_low,MAE_CI_high,R2_CI_low,R2_CI_high,Inference_ms,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,seed
Union-Find detection oracle,0.2922222222222222,0.5055555555555555,0.4232288252486335,0.2765138888888889,0.3075069444444444,0.3764913735414676,0.4770998116598638,0.2025914305542958,0.7141216991963261,0.7266355140186916,0.7203242617255358,0.909256559766764,0.8658333333333333,7
Kinetic-TopoGuard,0.316712222461239,0.3274858093321085,0.6263825550184747,0.3069808355197764,0.3268696309287276,0.6004313662153351,0.6492422019361582,4.832471902777292,0.3652081109925293,0.9994158878504672,0.5349382523057684,0.4580903790087463,0.5868055555555556,7
Shallow ML,0.3504489091866546,0.339683858876156,0.6124662142961097,0.3401065803315077,0.36194329583976,0.5893032673405715,0.6387611606405266,0.0270135416657366,0.2767624020887728,0.9906542056074766,0.4326530612244898,0.1924198250728863,0.3822222222222222,7
T-GCN (w=5),0.3840875503714798,0.4401914274721228,0.4941996719389427,0.3720515292969927,0.3969013650905839,0.4755766321199651,0.5153916532942878,0.1029796876537147,0.243076923076923,1.0,0.391089108910891,0.0428015564202334,0.2678571428571428,7
STGCN (w=5),0.3880020216310105,0.4523262161227332,0.4802562380204823,0.3757987402440756,0.3998348687733196,0.4600916732212852,0.5041561182642021,0.1261835936929856,0.2974386724386724,0.9939722724532852,0.4578647785644871,0.2783027607930332,0.4465702947845805,7
FANET-TopoGNN,0.3883180623087618,0.3860526214830234,0.5595656667961599,0.378046115140948,0.4012610609260284,0.5327281947485404,0.5866533497984859,0.0610617189522599,0.2616136919315403,1.0,0.4147286821705426,0.119533527696793,0.3288888888888889,7
GraphSAGE,0.3978837053063843,0.4451703351126211,0.4921202737744409,0.3871399793032971,0.4096056143707699,0.4712471881456239,0.5120995976699728,0.0440367186911316,0.3042163316135919,0.9988317757009346,0.4663848356743488,0.2873542274052478,0.4565277777777777,7
FANET-TopoGNN (concat),0.4033069319112433,0.4215416153075143,0.5190774782401026,0.392451927660654,0.4156290545345594,0.4905887471920654,0.5466932435714364,0.0545156251519074,0.3284883720930232,0.990070093457944,0.4933061699650756,0.3686224489795918,0.5163888888888889,7
GAT,0.4082119631436136,0.464677676644511,0.4698650099008985,0.3982176599589487,0.422340519450191,0.4464687985622542,0.4925330638075338,0.0913531248443177,0.247041847041847,1.0,0.3962045822726221,0.0491982507288629,0.2752777777777778,7
TGN (w=5),0.4102783662324049,0.475136410339959,0.4540462689066701,0.397530887153025,0.4233410769097862,0.4270835526396342,0.480503072611909,0.1035367188251257,0.2351190476190476,1.0,0.380722891566265,0.0,0.2351190476190476,7
GCN,0.4320739576882786,0.5133054359588497,0.414387249727861,0.4210803112395935,0.4454759720212055,0.3922584858114559,0.434632311510519,0.0503804687923548,0.2917023096663815,0.9959112149532712,0.4512372634643377,0.2456268221574344,0.4240277777777778,7
