mobility,n_nodes,link_model,graph_policy,radio_scenario,snapshots,beta_fixed_mean,beta_adaptive_mean,beta_current_mean,connected_ratio,frag_rate,edge_count_mean,edge_count_fixed_mean,edge_count_adaptive_mean,radius_mean,radius_adaptive_mean
gm,10,physical,adaptive,degraded,120,3.7083333333333335,3.283333333333333,3.283333333333333,0.058333333333333334,0.9583333333333334,9.758333333333333,9.025,9.758333333333333,518.0,518.0
gm,10,physical,adaptive,nominal,120,2.3583333333333334,1.3916666666666666,1.3916666666666666,0.625,0.35833333333333334,21.641666666666666,16.058333333333334,21.641666666666666,518.0,518.0
gm,10,physical,fixed,degraded,120,3.7083333333333335,3.283333333333333,3.7083333333333335,0.0,1.0,9.025,9.025,9.758333333333333,420.0,518.0
gm,10,physical,fixed,nominal,120,2.3583333333333334,1.3916666666666666,2.3583333333333334,0.0,1.0,16.058333333333334,16.058333333333334,21.641666666666666,420.0,518.0
gm,20,physical,adaptive,degraded,120,1.9916666666666667,1.65,1.65,0.5,0.49166666666666664,35.458333333333336,31.908333333333335,35.458333333333336,567.0,567.0
gm,20,physical,adaptive,nominal,120,1.0,1.0,1.0,1.0,0.0,89.83333333333333,59.25,89.83333333333333,567.0,567.0
gm,20,physical,fixed,degraded,120,1.9916666666666667,1.65,1.9916666666666667,0.31666666666666665,0.6666666666666666,31.908333333333335,31.908333333333335,35.458333333333336,420.0,567.0
gm,20,physical,fixed,nominal,120,1.0,1.0,1.0,1.0,0.0,59.25,59.25,89.83333333333333,420.0,567.0
gm,30,physical,adaptive,degraded,120,1.325,1.2083333333333333,1.2083333333333333,0.8083333333333333,0.175,95.03333333333333,86.71666666666667,95.03333333333333,567.0,567.0
gm,30,physical,adaptive,nominal,120,1.0083333333333333,1.0,1.0,1.0,0.0,228.4,159.86666666666667,228.4,567.0,567.0
gm,30,physical,fixed,degraded,120,1.325,1.2083333333333333,1.325,0.7,0.25833333333333336,86.71666666666667,86.71666666666667,95.03333333333333,420.0,567.0
gm,30,physical,fixed,nominal,120,1.0083333333333333,1.0,1.0083333333333333,0.9916666666666667,0.008333333333333333,159.86666666666667,159.86666666666667,228.4,420.0,567.0
mission,10,physical,adaptive,degraded,120,3.35,2.841666666666667,2.841666666666667,0.125,0.8416666666666667,9.075,8.175,9.075,567.0,567.0
