Threshold,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,False_Alarms,False_Alarms_per_minute,Alert_Events,True_Alert_Events,False_Alert_Events,Ground_Truth_Fragmentation_Events,Missed_Fragmentation_Events,Alert_Event_Precision,Alert_Event_Recall,Alert_Event_F1,False_Alert_Events_per_minute,seed,Model,Model_Backend,Split
0.1,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,Current-state persistence baseline,deterministic_persistence_baseline,test_sensitivity_only
0.2,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,Current-state persistence baseline,deterministic_persistence_baseline,test_sensitivity_only
0.3,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,Current-state persistence baseline,deterministic_persistence_baseline,test_sensitivity_only
0.4,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,Current-state persistence baseline,deterministic_persistence_baseline,test_sensitivity_only
0.5,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,Current-state persistence baseline,deterministic_persistence_baseline,test_sensitivity_only
0.6,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,Current-state persistence baseline,deterministic_persistence_baseline,test_sensitivity_only
0.7,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,Current-state persistence baseline,deterministic_persistence_baseline,test_sensitivity_only
0.8,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,Current-state persistence baseline,deterministic_persistence_baseline,test_sensitivity_only
0.9,0.8459530026109661,0.864,0.8548812664907651,0.9585964912280702,0.9388888888888889,236.0,19.666666666666668,0.0,0.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,27,Current-state persistence baseline,deterministic_persistence_baseline,test_sensitivity_only
0.1,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,Shallow ML (GBR),scikit_learn,test_sensitivity_only
0.2,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,Shallow ML (GBR),scikit_learn,test_sensitivity_only
0.3,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,Shallow ML (GBR),scikit_learn,test_sensitivity_only
0.4,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,Shallow ML (GBR),scikit_learn,test_sensitivity_only
0.5,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,Shallow ML (GBR),scikit_learn,test_sensitivity_only
0.6,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,Shallow ML (GBR),scikit_learn,test_sensitivity_only
0.7,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,Shallow ML (GBR),scikit_learn,test_sensitivity_only
0.8,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,Shallow ML (GBR),scikit_learn,test_sensitivity_only
0.9,0.20897185845639454,1.0,0.345701774602443,0.0038596491228070177,0.21138888888888888,5678.0,473.1666666666667,142.0,79.0,63.0,169.0,90.0,0.5563380281690141,0.46745562130177515,0.5080385852090031,5.249999999999998,27,Shallow ML (GBR),scikit_learn,test_sensitivity_only
