Connectivity ratio,PDR (%),Avg. end-to-end delay (ms),Proactive reroute (%),DTN buffered (%),Relay actions,Model,seed
0.8566666666666667,99.4798196517413,21.424258838966754,17.16355721393035,0.9740360696517413,6135.0,Kinetic-TopoGuard,37
0.8566666666666667,99.4798196517413,21.315996675492634,29.71542288557214,0.9740360696517413,7957.0,GCN,37
0.8566666666666667,99.4798196517413,21.309320154497698,32.224626865671645,0.9740360696517413,8551.0,GAT,37
0.8566666666666667,99.4798196517413,21.331087613396928,26.732276119402986,0.9740360696517413,7750.0,GraphSAGE,37
0.8566666666666667,99.4798196517413,21.31498394477992,29.002985074626867,0.9740360696517413,7935.0,FANET-TopoGNN,37
0.8566666666666667,99.4798196517413,21.387681756250096,18.758333333333333,0.9740360696517413,6588.0,FANET-TopoGNN (concat),37
0.8738888888888889,99.51480099502487,20.997428130768817,17.71082089552239,0.9117537313432836,5968.0,Kinetic-TopoGuard,47
0.87375,99.51424129353234,20.9329476080638,24.62431592039801,0.9117537313432836,6745.0,GCN,47
0.8734722222222222,99.51312189054727,20.963023639348545,21.435696517412936,0.9117537313432836,6285.0,GAT,47
0.8738888888888889,99.51480099502487,20.943009865029204,23.14639303482587,0.9117537313432836,6513.0,GraphSAGE,47
0.8738888888888889,99.51480099502487,20.918719121008774,27.961567164179105,0.9117537313432836,7482.0,FANET-TopoGNN,47
0.8738888888888889,99.51480099502487,20.922356170923848,27.197388059701492,0.9117537313432836,7711.0,FANET-TopoGNN (concat),47
