Model,Lead_5th_ms_mean,Lead_5th_ms_ci95_low,Lead_5th_ms_ci95_high,Lead_median_ms_mean,Lead_median_ms_ci95_low,Lead_median_ms_ci95_high,Lead_IQR_ms_mean,Lead_IQR_ms_ci95_low,Lead_IQR_ms_ci95_high,Lead_95th_ms_mean,Lead_95th_ms_ci95_low,Lead_95th_ms_ci95_high,Lead_mean_ms_mean,Lead_mean_ms_ci95_low,Lead_mean_ms_ci95_high,Lead_norm_mean_mean,Lead_norm_mean_ci95_low,Lead_norm_mean_ci95_high
FANET-TopoGNN,0.0,0.0,0.0,600.0000000000001,600.0000000000001,600.0000000000001,550.0000000000001,452.0000000000001,648.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,410.4107322825794,408.3772228170052,412.44424174815356,4.074478348193336,4.053802751727731,4.095153944658942
TGN (w=5),0.0,0.0,0.0,600.0000000000001,600.0000000000001,600.0000000000001,350.0000000000001,0.0,840.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,431.78209308076316,318.1571952296233,545.406990931903,4.2885453609188975,3.157650067927719,5.419440653910076
PI+MLP,0.0,0.0,0.0,600.0000000000001,600.0000000000001,600.0000000000001,150.0000000000001,52.000000000000114,248.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,486.49374617404777,433.9211936899306,539.0662986581649,4.832303748963016,4.309452057807732,5.355155440118299
GraphSAGE,0.0,0.0,0.0,550.0,451.9999999999999,648.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,368.8883980834046,304.01856360197684,433.7582325648323,3.659486024979656,3.0142559300487113,4.3047161199106005
GAT,0.0,0.0,0.0,550.0,451.9999999999999,648.0000000000001,400.0000000000001,8.000000000000114,792.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,397.568804793831,264.53650393676196,530.6011056509001,3.94797503468928,2.6208796758050923,5.2750703935734675
GCN,0.0,0.0,0.0,550.0,451.9999999999999,648.0000000000001,550.0000000000001,452.0000000000001,648.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,383.005847158551,316.4284476914096,449.58324662569237,3.803714470583029,3.136219732427097,4.471209208738961
FANET-TopoGNN (concat),0.0,0.0,0.0,500.00000000000006,303.99999999999994,696.0000000000002,500.0000000000001,304.0000000000001,696.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,366.83626247002485,253.8196043645675,479.8529205754822,3.6377099028761846,2.510044959007949,4.76537484674442
T-GCN (w=5),0.0,0.0,0.0,500.00000000000006,303.99999999999994,696.0000000000002,450.0000000000001,156.0000000000001,744.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,374.83823802758934,250.2230194240497,499.453456631129,3.724688085368121,2.485952119036424,4.963424051699818
STGCN (w=5),0.0,0.0,0.0,500.0,500.0,500.0,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,346.2874801676868,315.04477157158226,377.53018876379133,3.4404467028834924,3.135843666322005,3.7450497394449798
Kinetic-TopoGuard,0.0,0.0,0.0,100.0,0.0,296.0,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,600.0000000000001,266.1710955487528,237.22730811437714,295.1148829831285,2.632982739094583,2.3425336880701733,2.923431790118993
