mobility,n_nodes,link_model,graph_policy,radio_scenario,snapshots,beta_fixed_mean,beta_adaptive_mean,beta_current_mean,connected_ratio,frag_rate,edge_count_mean,edge_count_fixed_mean,edge_count_adaptive_mean,radius_mean,radius_adaptive_mean
gm,10,physical,adaptive,degraded,600.0,3.4716666666666667,2.9875,2.9875,0.1133333333333333,0.8825000000000001,9.163333333333334,8.2975,9.163333333333334,542.5,542.5
gm,10,physical,adaptive,nominal,600.0,1.3283333333333336,1.205,1.205,0.8591666666666667,0.1358333333333333,23.1025,16.163333333333334,23.1025,542.5,542.5
gm,10,physical,fixed,degraded,600.0,3.4716666666666667,2.9875,3.4716666666666667,0.0433333333333333,0.9533333333333334,8.2975,8.2975,9.163333333333334,420.0,542.5
gm,10,physical,fixed,nominal,600.0,1.3283333333333336,1.205,1.3283333333333336,0.7408333333333332,0.25249999999999995,16.163333333333334,16.163333333333334,23.1025,420.0,542.5
gm,20,physical,adaptive,degraded,600.0,1.9325,1.5325,1.5325,0.5966666666666667,0.4041666666666667,41.76916666666666,37.59166666666667,41.76916666666666,567.0,567.0
gm,20,physical,adaptive,nominal,600.0,1.0383333333333333,1.0025,1.0025,0.9975,0.0025,101.47416666666666,68.9025,101.47416666666666,567.0,567.0
gm,20,physical,fixed,degraded,600.0,1.9325,1.5325,1.9325,0.43666666666666665,0.5658333333333333,37.59166666666667,37.59166666666667,41.76916666666666,420.0,567.0
gm,20,physical,fixed,nominal,600.0,1.0383333333333333,1.0025,1.0383333333333333,0.9641666666666666,0.0358333333333333,68.9025,68.9025,101.47416666666666,420.0,567.0
gm,30,physical,adaptive,degraded,600.0,1.285,1.1800000000000002,1.1800000000000002,0.8308333333333333,0.17249999999999996,90.98166666666665,82.0825,90.98166666666665,567.0,567.0
gm,30,physical,adaptive,nominal,600.0,1.005,1.0,1.0,1.0,0.0,218.17999999999998,147.40083333333334,218.17999999999998,567.0,567.0
gm,30,physical,fixed,degraded,600.0,1.285,1.1800000000000002,1.285,0.7466666666666667,0.2533333333333333,82.0825,82.0825,90.98166666666665,420.0,567.0
gm,30,physical,fixed,nominal,600.0,1.005,1.0,1.005,0.995,0.005,147.40083333333334,147.40083333333334,218.17999999999998,420.0,567.0
mission,10,physical,adaptive,degraded,600.0,3.6133333333333333,3.215,3.215,0.1408333333333333,0.855,8.2625,7.484166666666667,8.2625,536.2525,536.2525
mission,10,physical,adaptive,nominal,600.0,1.3166666666666664,1.2225,1.2225,0.8408333333333333,0.1525,21.999166666666664,15.661666666666665,21.999166666666664,536.2525,536.2525
mission,10,physical,fixed,degraded,600.0,3.6133333333333333,3.215,3.6133333333333333,0.075,0.9199999999999999,7.484166666666667,7.484166666666667,8.2625,420.0,536.2525
mission,10,physical,fixed,nominal,600.0,1.3166666666666664,1.2225,1.3166666666666664,0.7475,0.2408333333333333,15.661666666666665,15.661666666666665,21.999166666666664,420.0,536.2525
mission,20,physical,adaptive,degraded,600.0,1.4283333333333332,1.2358333333333333,1.2358333333333333,0.7983333333333333,0.19749999999999995,43.44166666666666,39.00666666666666,43.44166666666666,567.0,567.0
mission,20,physical,adaptive,nominal,600.0,1.0,1.0,1.0,1.0,0.0,109.90916666666666,75.49083333333334,109.90916666666666,567.0,567.0
mission,20,physical,fixed,degraded,600.0,1.4283333333333332,1.2358333333333333,1.4283333333333332,0.6625,0.3283333333333333,39.00666666666666,39.00666666666666,43.44166666666666,420.0,567.0
mission,20,physical,fixed,nominal,600.0,1.0,1.0,1.0,1.0,0.0,75.49083333333334,75.49083333333334,109.90916666666666,420.0,567.0
mission,30,physical,adaptive,degraded,600.0,1.2175,1.11,1.11,0.8966666666666667,0.09499999999999995,97.2575,88.47,97.2575,567.0,567.0
mission,30,physical,adaptive,nominal,600.0,1.0016666666666667,1.0,1.0,1.0,0.0,232.04333333333332,164.63583333333332,232.04333333333332,567.0,567.0
mission,30,physical,fixed,degraded,600.0,1.2175,1.11,1.2175,0.7958333333333334,0.19666666666666666,88.47,88.47,97.2575,420.0,567.0
mission,30,physical,fixed,nominal,600.0,1.0016666666666667,1.0,1.0016666666666667,0.9983333333333334,0.00166666666666665,164.63583333333332,164.63583333333332,232.04333333333332,420.0,567.0
rwp,10,physical,adaptive,degraded,600.0,2.2666666666666666,1.8883333333333332,1.8883333333333332,0.44666666666666666,0.5308333333333334,13.539166666666667,12.3725,13.539166666666667,565.53,565.53
rwp,10,physical,adaptive,nominal,600.0,1.2691666666666666,1.0266666666666666,1.0266666666666666,0.9883333333333332,0.00249999999999995,30.886666666666663,22.207499999999996,30.886666666666663,565.53,565.53
rwp,10,physical,fixed,degraded,600.0,2.2666666666666666,1.8883333333333332,2.2666666666666666,0.3058333333333333,0.6699999999999999,12.3725,12.3725,13.539166666666667,420.0,565.53
rwp,10,physical,fixed,nominal,600.0,1.2691666666666666,1.0266666666666666,1.2691666666666666,0.81,0.16999999999999996,22.207499999999996,22.207499999999996,30.886666666666663,420.0,565.53
rwp,20,physical,adaptive,degraded,600.0,1.5783333333333331,1.3075,1.3075,0.75,0.23666666666666664,50.24916666666667,46.02666666666667,50.24916666666667,567.0,567.0
rwp,20,physical,adaptive,nominal,600.0,1.0183333333333333,1.0008333333333335,1.0008333333333335,0.9991666666666665,0.0008333333333333,114.36916666666667,80.72833333333332,114.36916666666667,567.0,567.0
rwp,20,physical,fixed,degraded,600.0,1.5783333333333331,1.3075,1.5783333333333331,0.595,0.39083333333333337,46.02666666666667,46.02666666666667,50.24916666666667,420.0,567.0
rwp,20,physical,fixed,nominal,600.0,1.0183333333333333,1.0008333333333335,1.0183333333333333,0.9816666666666667,0.0158333333333333,80.72833333333332,80.72833333333332,114.36916666666667,420.0,567.0
rwp,30,physical,adaptive,degraded,600.0,1.1491666666666667,1.08,1.08,0.925,0.0683333333333333,126.6625,116.2975,126.6625,567.0,567.0
rwp,30,physical,adaptive,nominal,600.0,1.0008333333333335,1.0,1.0,1.0,0.0,295.7783333333333,213.98,295.7783333333333,567.0,567.0
rwp,30,physical,fixed,degraded,600.0,1.1491666666666667,1.08,1.1491666666666667,0.8658333333333333,0.125,116.2975,116.2975,126.6625,420.0,567.0
rwp,30,physical,fixed,nominal,600.0,1.0008333333333335,1.0,1.0008333333333335,0.9991666666666665,0.0008333333333333,213.98,213.98,295.7783333333333,420.0,567.0
