Model,Connectivity ratio_mean,Connectivity ratio_ci95_low,Connectivity ratio_ci95_high,PDR (%)_mean,PDR (%)_ci95_low,PDR (%)_ci95_high,Avg. end-to-end delay (ms)_mean,Avg. end-to-end delay (ms)_ci95_low,Avg. end-to-end delay (ms)_ci95_high,Proactive reroute (%)_mean,Proactive reroute (%)_ci95_low,Proactive reroute (%)_ci95_high,DTN buffered (%)_mean,DTN buffered (%)_ci95_low,DTN buffered (%)_ci95_high,Relay actions_mean,Relay actions_ci95_low,Relay actions_ci95_high
FANET-TopoGNN,0.8652777777777778,0.8484,0.8821555555555556,99.49731032338309,99.46302860696518,99.531592039801,21.116851532894348,20.728512005598624,21.50519106019007,28.482276119402986,27.46168656716418,29.502865671641793,0.9428949004975125,0.8818582089552239,1.0039315920398009,7708.5,7264.56,8152.44
FANET-TopoGNN (concat),0.8652777777777778,0.8484,0.8821555555555556,99.49731032338309,99.46302860696518,99.531592039801,21.155018963586972,20.69899988996725,21.611038037206693,22.97786069651741,14.707587064676614,31.248134328358205,0.9428949004975125,0.8818582089552239,1.0039315920398009,7149.5,6048.96,8250.04
Kinetic-TopoGuard,0.8652777777777778,0.8484,0.8821555555555556,99.49731032338309,99.46302860696518,99.531592039801,21.210843484867787,20.79254939083381,21.629137578901766,17.437189054726367,16.90087064676617,17.973507462686566,0.9428949004975125,0.8818582089552239,1.0039315920398009,6051.5,5887.84,6215.16
GraphSAGE,0.8652777777777778,0.8484,0.8821555555555556,99.49731032338309,99.46302860696518,99.531592039801,21.137048739213064,20.756732545812696,21.517364932613432,24.93933457711443,21.425169154228858,28.453500000000002,0.9428949004975125,0.8818582089552239,1.0039315920398009,7131.5,5919.24,8343.76
GCN,0.8652083333333334,0.8484666666666667,0.88195,99.49703047263682,99.4632972636816,99.53076368159205,21.124472141778217,20.749084055697956,21.499860227858477,27.169869402985075,22.18058457711443,32.15915422885572,0.9428949004975125,0.8818582089552239,1.0039315920398009,7351.0,6163.24,8538.76
GAT,0.8650694444444444,0.8486,0.8815388888888889,99.49647077114429,99.46383457711444,99.52910696517414,21.136171896923123,20.796801312076955,21.475542481769292,26.83016169154229,16.257009950248758,37.40331343283582,0.9428949004975125,0.8818582089552239,1.0039315920398009,7418.0,5197.32,9638.68
