Model,MAE_mean,R2_mean,Lead_median_ms_mean
Kinetic-TopoGuard,0.30939984156570777,0.4472568923770162,100.0
FANET-TopoGNN,0.38450861503266626,0.4932951435956703,600.0000000000001
FANET-TopoGNN (concat),0.38788068424910305,0.4724575979912796,500.00000000000006
GAT,0.4038165025785565,0.41268337203573247,550.0
GraphSAGE,0.40692802803797856,0.44800858440443003,550.0
GCN,0.4391467410574357,0.34312725236355524,550.0
PI+MLP,0.472494557350874,0.20652215873866253,600.0000000000001
