Model,Threshold,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high,False_Alarms_mean,False_Alarms_ci95_low,False_Alarms_ci95_high,False_Alarms_per_minute_mean,False_Alarms_per_minute_ci95_low,False_Alarms_per_minute_ci95_high
FANET-TopoGNN,0.1,0.28641179065098543,0.26515449566276844,0.3076690856392024,0.9964191494216127,0.9937226227510386,0.9991156760921868,0.4448291554991398,0.41890864925885324,0.4707496617394264,0.2248573731288595,0.18698133323335392,0.2627334130243651,0.4088194444444444,0.40160555555555555,0.41603333333333326,4250.5,4194.64,4306.36,354.2083333333333,349.55333333333334,358.8633333333333
FANET-TopoGNN,0.2,0.28641179065098543,0.26515449566276844,0.3076690856392024,0.9964191494216127,0.9937226227510386,0.9991156760921868,0.4448291554991398,0.41890864925885324,0.4707496617394264,0.2248573731288595,0.18698133323335392,0.2627334130243651,0.4088194444444444,0.40160555555555555,0.41603333333333326,4250.5,4194.64,4306.36,354.2083333333333,349.55333333333334,358.8633333333333
FANET-TopoGNN,0.3,0.28641179065098543,0.26515449566276844,0.3076690856392024,0.9964191494216127,0.9937226227510386,0.9991156760921868,0.4448291554991398,0.41890864925885324,0.4707496617394264,0.2248573731288595,0.18698133323335392,0.2627334130243651,0.4088194444444444,0.40160555555555555,0.41603333333333326,4250.5,4194.64,4306.36,354.2083333333333,349.55333333333334,358.8633333333333
FANET-TopoGNN,0.4,0.28641179065098543,0.26515449566276844,0.3076690856392024,0.9964191494216127,0.9937226227510386,0.9991156760921868,0.4448291554991398,0.41890864925885324,0.4707496617394264,0.2248573731288595,0.18698133323335392,0.2627334130243651,0.4088194444444444,0.40160555555555555,0.41603333333333326,4250.5,4194.64,4306.36,354.2083333333333,349.55333333333334,358.8633333333333
FANET-TopoGNN,0.5,0.28641179065098543,0.26515449566276844,0.3076690856392024,0.9964191494216127,0.9937226227510386,0.9991156760921868,0.4448291554991398,0.41890864925885324,0.4707496617394264,0.2248573731288595,0.18698133323335392,0.2627334130243651,0.4088194444444444,0.40160555555555555,0.41603333333333326,4250.5,4194.64,4306.36,354.2083333333333,349.55333333333334,358.8633333333333
FANET-TopoGNN,0.6,0.28641179065098543,0.26515449566276844,0.3076690856392024,0.9964191494216127,0.9937226227510386,0.9991156760921868,0.4448291554991398,0.41890864925885324,0.4707496617394264,0.2248573731288595,0.18698133323335392,0.2627334130243651,0.4088194444444444,0.40160555555555555,0.41603333333333326,4250.5,4194.64,4306.36,354.2083333333333,349.55333333333334,358.8633333333333
FANET-TopoGNN,0.7,0.28641179065098543,0.26515449566276844,0.3076690856392024,0.9964191494216127,0.9937226227510386,0.9991156760921868,0.4448291554991398,0.41890864925885324,0.4707496617394264,0.2248573731288595,0.18698133323335392,0.2627334130243651,0.4088194444444444,0.40160555555555555,0.41603333333333326,4250.5,4194.64,4306.36,354.2083333333333,349.55333333333334,358.8633333333333
FANET-TopoGNN,0.8,0.28641179065098543,0.26515449566276844,0.3076690856392024,0.9964191494216127,0.9937226227510386,0.9991156760921868,0.4448291554991398,0.41890864925885324,0.4707496617394264,0.2248573731288595,0.18698133323335392,0.2627334130243651,0.4088194444444444,0.40160555555555555,0.41603333333333326,4250.5,4194.64,4306.36,354.2083333333333,349.55333333333334,358.8633333333333
FANET-TopoGNN,0.9,0.28641179065098543,0.26515449566276844,0.3076690856392024,0.9964191494216127,0.9937226227510386,0.9991156760921868,0.4448291554991398,0.41890864925885324,0.4707496617394264,0.2248573731288595,0.18698133323335392,0.2627334130243651,0.4088194444444444,0.40160555555555555,0.41603333333333326,4250.5,4194.64,4306.36,354.2083333333333,349.55333333333334,358.8633333333333
FANET-TopoGNN (concat),0.1,0.32218408459992787,0.21298163440566414,0.4313865347941916,0.9939360529217199,0.982050716648291,1.0,0.48374021665394473,0.36038842994729336,0.6070920033605961,0.328451194029315,0.08573948531080505,0.5711629027478249,0.48506944444444444,0.28485000000000005,0.6852888888888888,3696.5,2233.36,5159.639999999999,308.0416666666667,186.1133333333334,429.96999999999997
