Model,Threshold,Risk_Precision_mean,Risk_Precision_ci95_low,Risk_Precision_ci95_high,Risk_Recall_mean,Risk_Recall_ci95_low,Risk_Recall_ci95_high,Risk_F1_mean,Risk_F1_ci95_low,Risk_F1_ci95_high,Risk_Specificity_mean,Risk_Specificity_ci95_low,Risk_Specificity_ci95_high,Risk_Accuracy_mean,Risk_Accuracy_ci95_low,Risk_Accuracy_ci95_high,False_Alarms_mean,False_Alarms_ci95_low,False_Alarms_ci95_high,False_Alarms_per_minute_mean,False_Alarms_per_minute_ci95_low,False_Alarms_per_minute_ci95_high
Kinetic-TopoGuard,0.1,0.2746006854242808,0.255370252936581,0.2938311179119806,0.9999712147380542,0.9999147956246404,1.0,0.4291114876079138,0.4054098448950978,0.4528131303207299,0.0239943233168616,0.0129064617294396,0.0350821849042835,0.2875,0.2682075081180541,0.3067924918819458,5129.95,4991.0385655428345,5268.861434457165,427.4958333333334,415.91988046190295,439.07178620476384
Kinetic-TopoGuard,0.2,0.4238505556638081,0.3716105020047615,0.4760906093228547,0.9890709799176868,0.9831121432402816,0.9950298165950916,0.5833521176710282,0.5325836808867126,0.6341205544553439,0.4471569411335287,0.333304485397519,0.5610093968695384,0.5931944444444444,0.5110795735851151,0.6753093153037736,2907.6,2308.290230703775,3506.909769296225,242.3,192.35751922531455,292.2424807746854
Kinetic-TopoGuard,0.3,0.5498285527795594,0.4900034058810899,0.609653699678029,0.9452937561500482,0.92661966348427,0.9639678488158264,0.6826076268185556,0.6320689926694264,0.7331462609676848,0.656945017358076,0.5365960778193193,0.7772939568968327,0.7363125000000001,0.653605298575979,0.8190197014240213,1794.35,1175.9474434091453,2412.7525565908545,149.52916666666664,97.99562028409542,201.06271304923783
Kinetic-TopoGuard,0.4,0.6794212360964907,0.6341735916055725,0.724668880587409,0.8740204635461428,0.8417875895457513,0.9062533375465344,0.7565695816595752,0.7302923235915872,0.7828468397275632,0.8360262606486497,0.7942596053582107,0.8777929159390887,0.8473194444444445,0.8234436768828158,0.8711952120060732,859.75,644.348394750154,1075.1516052498462,71.64583333333333,53.69569956251282,89.59596710415383
Kinetic-TopoGuard,0.5,0.778237983141992,0.7480058560336391,0.8084701102503449,0.7831773259302206,0.7394177685544447,0.8269368833059965,0.7747455276634254,0.7512091438396727,0.7982819114871781,0.9159085129156744,0.8999890479309958,0.9318279779003528,0.8809166666666666,0.8720274455709007,0.8898058877624324,441.55,358.88215028421524,524.2178497157848,36.79583333333333,29.90684585701793,43.684820809648734
Kinetic-TopoGuard,0.6,0.8463832970695231,0.825039357360657,0.8677272367783891,0.6891449194481875,0.6408305175758625,0.7374593213205124,0.7539416186853019,0.7226550579299538,0.7852281794406499,0.9538533403871396,0.9458646463459424,0.9618420344283368,0.8833472222222222,0.8724369008076592,0.8942575436367851,242.2,201.1473258925996,283.2526741074004,20.18333333333333,16.762277157716632,23.604389508950028
Kinetic-TopoGuard,0.7,0.9042586093204904,0.887560815059116,0.920956403581865,0.5810109166905003,0.53003161256923,0.6319902208117706,0.701197932373478,0.6616943350810719,0.7407015296658842,0.9779908143497064,0.9744688630500762,0.9815127656493364,0.8717777777777778,0.8577241545627102,0.8858314009928453,115.6,97.07749513358638,134.1225048664136,9.633333333333333,8.089791261132198,11.176875405534467
Kinetic-TopoGuard,0.8,0.9461121168840274,0.9314522743355484,0.9607719594325064,0.4378037277769532,0.3727494911105231,0.5028579644433834,0.5843147052574109,0.5209772833241471,0.6476521271906748,0.9913127105743108,0.989036898367438,0.9935885227811836,0.8431666666666665,0.8244747158080593,0.8618586175252737,45.85,33.69993436448311,58.00006563551689,3.820833333333333,2.8083278637069258,4.83333880295974
Kinetic-TopoGuard,0.9,0.9757801606611414,0.9616439942690024,0.9899163270532804,0.195854681904934,0.1330636550918894,0.2586457087179787,0.3034513488839708,0.2153140567325668,0.3915886410353747,0.9985813257221952,0.9976831954889984,0.9994794559553922,0.7849791666666665,0.7676732704112318,0.8022850629221011,7.3,2.7296395627570256,11.870360437242974,0.6083333333333334,0.2274699635630856,0.9891967031035812
