Model,Lead_5th_ms,Lead_median_ms,Lead_IQR_ms,Lead_95th_ms,Lead_mean_ms,Lead_norm_mean,seed
PI+MLP,0.0,600.0000000000001,0.0,600.0000000000001,522.7835631860399,5.1889591444496785,17
FANET-TopoGNN,0.0,600.0000000000001,400.0000000000001,600.0000000000001,424.331550802139,4.204496168284545,17
Shallow ML (MLP),0.0,500.0,600.0000000000001,600.0000000000001,332.690683929074,3.2880303518800194,17
GraphSAGE,0.0,500.0,600.0000000000001,600.0000000000001,379.81987053194484,3.761967585175541,17
tgcn:5,0.0,500.0,600.0000000000001,600.0000000000001,338.2716049382716,3.355988128827501,17
GAT,0.0,400.0,600.0000000000001,600.0000000000001,310.7092597804672,3.079376827417734,17
GCN,0.0,400.0,600.0000000000001,600.0000000000001,323.31832254432874,3.208243251786922,17
FANET-TopoGNN (concat),0.0,400.0,600.0000000000001,600.0000000000001,308.17618913594146,3.050921543040879,17
stgcn:5,0.0,300.00000000000006,600.0000000000001,600.0000000000001,280.9216192937123,2.7839741344927202,17
Kinetic-TopoGuard,0.0,300.00000000000006,600.0000000000001,600.0000000000001,292.0489726991275,2.8872493351135122,17
Union-Find detection oracle,0.0,0.0,0.0,0.0,0.0,0.0,17
tgn:5,0.0,0.0,600.0000000000001,600.0000000000001,233.01751363766869,2.306713448569044,17
