seed,Model,Risk_Precision,Risk_Recall,Risk_F1,Risk_Specificity,Risk_Accuracy,Risk_PR_AUC,Risk_ROC_AUC,Risk_Brier,Risk_ECE,False_Alarms,False_Alarms_per_minute,Model_Backend
17,Union-Find detection oracle,0.648921832884097,0.6577868852459017,0.6533242876526459,0.9091701534170153,0.8580555555555556,0.5310514495462612,0.7834785193314585,0.14194444444444446,0.14194444444444443,521.0,43.416666666666664,diagnostic_reference
17,Shallow ML (MLP),0.2959005669428696,0.9269125683060109,0.44859504132231404,0.43706415620641564,0.5366666666666666,0.24774849029564958,0.6819883622562133,0.4633333333333333,0.4633333333333333,3229.0,269.0833333333333,scikit_learn
17,Kinetic-TopoGuard,0.3480861244019139,0.9938524590163934,0.5155917788802268,0.5249302649930265,0.6202777777777778,0.7940414601328735,0.9366873775826722,0.09833973642900734,0.13164163990567254,2725.0,227.08333333333334,scikit_learn
17,GCN,0.31493728620296463,0.9433060109289617,0.47221747307232004,0.47629009762900976,0.57125,0.2706990726849019,0.7097980542789857,0.42875,0.42874999999999996,3004.0,250.33333333333334,pytorch
17,GAT,0.3356294536817102,0.9651639344262295,0.4980613323933733,0.5123779637377964,0.6044444444444445,0.29659967865241454,0.7387709490820129,0.39555555555555555,0.3955555555555556,2797.0,233.08333333333334,pytorch
17,GraphSAGE,0.28352941176470586,0.9877049180327869,0.44058500914076776,0.36297071129707115,0.49,0.2409537336146116,0.675337814664929,0.51,0.51,3654.0,304.5,pytorch
17,PI+MLP,0.203559510567297,1.0,0.33826247689463956,0.001394700139470014,0.20444444444444446,0.1645717888309718,0.5006973500697349,0.7955555555555556,0.7955555555555557,5728.0,477.3333333333333,pytorch
17,FANET-TopoGNN,0.24724622945263514,0.9965846994535519,0.39619823489477257,0.22559274755927475,0.3823611111111111,0.202942714111306,0.6110887235064133,0.6176388888888888,0.6176388888888888,4442.0,370.1666666666667,pytorch
17,FANET-TopoGNN (concat),0.3132006405856783,0.9351092896174863,0.46923736075407024,0.4766387726638773,0.5698611111111112,0.2659549673547096,0.7058740311406817,0.4301388888888889,0.4301388888888889,3002.0,250.16666666666666,pytorch
17,tgcn:5,0.2954112920279129,0.9886765746638358,0.4549006838163464,0.4095339358497253,0.5255102040816326,0.31303652819379646,0.6991052552567806,0.4744897959183674,0.4744897959183674,3332.0,283.3333333333333,pytorch
17,stgcn:5,0.3385272681578286,0.9532908704883227,0.49962908011869434,0.5335814283182704,0.6176303854875284,0.3334721786543082,0.7434361494032966,0.38236961451247165,0.38236961451247165,2632.0,223.80952380952382,pytorch
17,tgn:5,0.3817282513820192,0.9285208775654635,0.5410309278350516,0.6234272550062023,0.6845238095238095,0.35932743673107387,0.775974066285833,0.31547619047619047,0.31547619047619047,2125.0,180.69727891156464,pytorch
