Model,Lead_5th_ms,Lead_median_ms,Lead_IQR_ms,Lead_95th_ms,Lead_mean_ms,Lead_norm_mean,seed
PI+MLP,0.0,600.0000000000001,100.00000000000011,600.0000000000001,513.3164770332912,5.099064815878976,47
FANET-TopoGNN,0.0,600.0000000000001,500.0000000000001,600.0000000000001,411.4482371119539,4.0850271219002785,47
tgn:5,0.0,600.0000000000001,600.0000000000001,600.0000000000001,373.8102064220183,3.7115579665356426,47
FANET-TopoGNN (concat),0.0,600.0000000000001,400.0000000000001,600.0000000000001,424.4978227279112,4.213049159951815,47
tgcn:5,0.0,600.0000000000001,300.00000000000006,600.0000000000001,438.41743119266056,4.356696231455722,47
GCN,0.0,500.0,600.0000000000001,600.0000000000001,349.0377862059278,3.4631559307075532,47
GAT,0.0,500.0,600.0000000000001,600.0000000000001,329.6951819075713,3.2708855658708167,47
GraphSAGE,0.0,500.0,600.0000000000001,600.0000000000001,335.79154375614553,3.3302869969536637,47
stgcn:5,0.0,500.0,600.0000000000001,600.0000000000001,362.2276376146789,3.5958564154148633,47
Kinetic-TopoGuard,0.0,200.0,600.0000000000001,600.0000000000001,280.9383340356792,2.7811710304335673,47
